,사업장명,카페이름,별점,방문자리뷰수,블로그리뷰수,주소,영업시간,전화번호,연결사이트,설명,메뉴,키워드
0,대명6동 빨간우체통,빨간우체통,4.77,181,24,대구 남구 앞산순환로 393 2 층,휴무,053-654-7844,http://instagram.com/cafe_uchetong,"18년간 운영한 앞산 뷰 맛집 빨간우체통입니다.
루프탑에서 시원하게 펼쳐진 앞산의 전경을 보면서 커피와 음료를 즐겨보세요!

다락 분위기의 독특한 인테리어로 꾸민 2.5층에서도 통유리를 통해 앞산의 사계절을 느끼실 수 있어요.
빨간우체통은 기성품을 사용하지 않고, 수제청을 직접 만들어서 사용합니다!
에이드의 시럽류도 전부 직접 만든 수제입니다.
원두의 산미 조절도 가능합니다 :)",공사중,"{'커피가 맛있어요': '51', '친절해요': '44', '뷰가 좋아요': '38', '인테리어가 멋져요': '24', '대화하기 좋아요': '21', '음료가 맛있어요': '15', '가성비가 좋아요': '13', '좌석이 편해요': '11', '디저트가 맛있어요': '10', '사진이 잘 나와요': '10', '특별한 메뉴가 있어요': '8', '매장이 청결해요': '8', '집중하기 좋아요': '5', '화장실이 깨끗해요': '5', '주차하기 편해요': '1'}"
1,내당4동 카페이음,카페이음,4.8,99,초기값,대구 서구 서대구로11길 38,NO INFO,NO INFO,NO INFO,NO INFO,공사중,"{'커피가 맛있어요': '20', '가성비가 좋아요': '16', '음료가 맛있어요': '13', '친절해요': '9', '좌석이 편해요': '7', '매장이 청결해요': '7', '대화하기 좋아요': '7', '디저트가 맛있어요': '6', '화장실이 깨끗해요': '6', '집중하기 좋아요': '4', '주차하기 편해요': '2', '뷰가 좋아요': '2', '사진이 잘 나와요': '1', '특별한 메뉴가 있어요': '1'}"
2,원대동 우송다방,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값
3,혁신동 카페봄봄 대림점,카페봄봄 대림점,초기값,87,5,대구 동구 메디밸리로 5-25 1층 108호,08:00 - 22:00,053-961-8899,http://www.cafebombom.co.kr/,"Cafe 봄봄은 봄이라는 밝고 산뜻한 분위기에 봄처럼 따스한 커피 한 잔의 작은 사치를 누릴 수 있는 행복한 공간입니다.
Cafe 봄봄에서 따스하고 산뜻한 봄을 한 잔 마시고, 잠시 여유를 가져보길 바라는 마음입니다.",공사중,"{'커피가 맛있어요': '32', '가성비가 좋아요': '27', '음료가 맛있어요': '22', '친절해요': '10', '매장이 청결해요': '7', '특별한 메뉴가 있어요': '6', '디저트가 맛있어요': '5', '주차하기 편해요': '4', '인테리어가 멋져요': '3', '좌석이 편해요': '1', '사진이 잘 나와요': '1', '집중하기 좋아요': '1'}"
4,대명11동 가연레스카페,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값
5,안심4동 지니카페앤(&)슬라임,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값
6,내당4동 투썸플레이스 대구7호광장점,투썸플레이스 대구7호광장점,4.24,422,40,대구 달서구 달구벌대로344길 68,09:00 - 24:00,053-651-9600,NO INFO,NO INFO,공사중,"{'디저트가 맛있어요': '63', '커피가 맛있어요': '58', '대화하기 좋아요': '32', '음료가 맛있어요': '27', '매장이 청결해요': '26', '좌석이 편해요': '21', '친절해요': '17', '집중하기 좋아요': '17', '가성비가 좋아요': '7', '특별한 메뉴가 있어요': '5', '주차하기 편해요': '4', '화장실이 깨끗해요': '4', '인테리어가 멋져요': '3', '사진이 잘 나와요': '2', '뷰가 좋아요': '2'}"
7,혁신동 동구전자 영남지사(본사공식 직영점),초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값
8,대명1동 피르스트커피로스터스,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값
9,대명4동 비아또,비아또,4.43,47,초기값,대구 남구 대명로21길 23 대명마을문화창작소 1층,11:00 - 21:00,0507-1424-1124,http://instagram.com/beato.cafe,"BEATO는 스페인어의 행복한이란 뜻입니다.
카페에 오시는 모든 분들께 편안하고 포근한 분위기를 제공하고자 합니다. 고객님의 마음으로 정성 담아 함껏 준비하였습니다.
아기자기 야외 테라스에 테이블도 있어요~

beato와 함께 행복한 시간되세요~",공사중,"{'커피가 맛있어요': '14', '음료가 맛있어요': '10', '친절해요': '9', '인테리어가 멋져요': '6', '가성비가 좋아요': '6', '매장이 청결해요': '5', '대화하기 좋아요': '4', '디저트가 맛있어요': '3', '사진이 잘 나와요': '3', '화장실이 깨끗해요': '3', '좌석이 편해요': '1', '특별한 메뉴가 있어요': '1', '집중하기 좋아요': '1', '뷰가 좋아요': '1'}"
10,평리4동 카페앤브런치정원,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값
11,비산7동 호커피숍,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값
12,안심4동 달라크레페,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값
