,사업장명,카페이름,별점,방문자리뷰수,블로그리뷰수,주소,영업시간,전화번호,연결사이트,설명,메뉴,키워드
1409,관문동 쿠잉,쿠잉,4.62,69,27,대구 북구 매전로 46-22 1층,12:00 - 19:00,0507-1364-2701,https://www.instagram.com/cooing.me7/,"제과제빵,바리스타 자격을 골고루 갖추어 완벽 하게 준비된 디저트 카페. 좋은 재료만을 고집하 고 건강을 우선으로 생각하여 만드는 쿠잉...",공사중,"{'디저트가 맛있어요': '10', '친절해요': '10', '매장이 청결해요': '10', '특별한 메뉴가 있어요': '7', '좌석이 편해요': '2', '음료가 맛있어요': '2', '커피가 맛있어요': '1', '주차하기 편해요': '1', '가성비가 좋아요': '1', '집중하기 좋아요': '1', '대화하기 좋아요': '1', '뷰가 좋아요': '1'}"
1410,관문동 나의 계절 봄,나의 계절 봄,4.58,99,22,대구 북구 매전로 50 1층 나의 계절 봄,10:00 - 20:00,0507-1336-7828,http://www.instagram.com/flowercafe_mybom,"안녕하세요.나의 계절,봄입니다. : ) 커피와 꽃을 판매하고있습니다. 꽃 관련 문의는 카카오톡에서 '나의계절봄'을 검색하셔서 해주시거나 전...",공사중,"{'친절해요': '23', '감각적이에요': '19', '꽃 조합이 예뻐요': '16', '싱싱해요': '11', '포장이 정성스러워요': '10', '가격이 합리적이에요': '10', '비싼 만큼 가치있어요': '2', '맞춤 제작을 잘해요': '1', '주차하기 편해요': '1'}"
1411,태전2동 빌리브라운 태전하늘점,빌리브라운 태전하늘점,4.57,306,초기값,대구 북구 매전로 80 1층 빌리브라운 태전하늘점,"07:00 - 21:00
20:30 라스트오더",053-326-3335,NO INFO,"안녕하세요 ? 빌리브라운 태전하늘점 입니다 !
빌리브라운 시그니처 블랙 원두로 추출한 최고급 커피를 최고의 서비스로 고객님들께 제공 하는 빌리브라운 입니다.
빌리브라운은 사랑해주시는 모든 분들께 감사드립니다.

커피 한잔의 즐거움, 빌리브라운",공사중,"{'커피가 맛있어요': '89', '가성비가 좋아요': '52', '친절해요': '49', '음료가 맛있어요': '35', '매장이 청결해요': '26', '대화하기 좋아요': '22', '디저트가 맛있어요': '13', '특별한 메뉴가 있어요': '8', '사진이 잘 나와요': '4', '좌석이 편해요': '3', '인테리어가 멋져요': '3', '집중하기 좋아요': '3', '주차하기 편해요': '2', '화장실이 깨끗해요': '2', '뷰가 좋아요': '1'}"
1412,관문동 커피스타972,커피스타972,초기값,64,6,대구 북구 매전로4길 10-14,NO INFO,010-9992-8239,https://www.instagram.com/goochilee/,NO INFO,공사중,"{'디저트가 맛있어요': '36', '친절해요': '31', '커피가 맛있어요': '25', '매장이 청결해요': '22', '대화하기 좋아요': '22', '음료가 맛있어요': '21', '인테리어가 멋져요': '17', '주차하기 편해요': '17', '가성비가 좋아요': '15', '특별한 메뉴가 있어요': '8', '사진이 잘 나와요': '6', '좌석이 편해요': '3', '뷰가 좋아요': '3', '집중하기 좋아요': '2'}"
1413,관문동 시에로,카페시에로,4.36,41,초기값,대구 북구 매전로4길 10-97,10:00 - 24:00,053-313-3544,NO INFO,NO INFO,공사중,"{'커피가 맛있어요': '14', '음료가 맛있어요': '9', '친절해요': '9', '가성비가 좋아요': '6', '화장실이 깨끗해요': '6'}"
1414,관문동 청솔로9 매천점,청솔로9 매천점,초기값,51,4,대구 북구 매전로4길 32 상가동 406호(동동배옆),09:00 - 22:00,053-287-0700,NO INFO,매장에서 편하게 드실수있도록 넓은공간과 테이블도 마련되어있습니다:),공사중,"{'친절해요': '23', '매장이 청결해요': '16', '커피가 맛있어요': '14', '음료가 맛있어요': '14'}"
1415,검단동 퍼즈X멜트베이커리,퍼즈X멜트베이커리,초기값,123,142,대구 북구 복현동 270-6,NO INFO,0507-1411-0888,NO INFO,NO INFO,공사중,"{'뷰가 좋아요': '19', '커피가 맛있어요': '12', '빵이 맛있어요': '11', '주차하기 편해요': '5', '음료가 맛있어요': '4', '매장이 청결해요': '3', '사진이 잘 나와요': '2', '인테리어가 멋져요': '1', '친절해요': '1', '가성비가 좋아요': '1', '특별한 메뉴가 있어요': '1'}"
1416,복현2동 더드림커피 대구복현아너스점,더드림커피 대구복현아너스점,초기값,15,2,대구 북구 복현로 105 상가동 109호,08:00 - 22:00,053-721-7607,http://www.thedreamcoffee.co.kr,"대구시 북구 복현동 190-1번지(태왕아너스상가)에 위치한 테이크아웃커피전문점 더드림커피입니다.
더드림커피전문점에서는 고품격의 최고급원두를 제공하고 있으며, 더드림커피전문점의 빙수는 한번만 먹어본 사람이 없을 정도로 재주문율과 가성비1등을 늘 유지하고 있습니다. 배달의민족, 요기요, 쿠팡잇츠, 대구로를 통해서 집까지 안전하게 배달해 드리고 있으며, 배달시 엎질러지지 않도록 안전하고 꼼꼼하게 포장해서 보내드린답니다. 우리동네 1등 커피맛집 많은 사랑과 격려 부탁드립니다.
대표메뉴 : 1리터보틀커피, 블루베리치즈빙수, 생딸기빙수, 인절미빙수, 밀크팥빙수, 녹차빙수, 망고빙수, 딸기라떼, 망고밀크쉐이크, 딸기요거트스무디, 춘천명물감자빵, 고구마빵, 벌꿀케이크",공사중,"{'가성비가 좋아요': '8', '친절해요': '6', '커피가 맛있어요': '5', '음료가 맛있어요': '5'}"
1417,복현2동 까페다움 복현점,카페다움 복현점,4.42,114,15,대구 북구 복현로 105 태왕아너스복현,NO INFO,053-383-8298,http://www.cafedaoom.com/,NO INFO,공사중,"{'커피가 맛있어요': '25', '음료가 맛있어요': '12', '친절해요': '12', '대화하기 좋아요': '9', '매장이 청결해요': '6'}"
1418,복현2동 카페홀트,카페홀트,초기값,11,5,대구 북구 복현로 29-1 1층,08:00 - 20:00,0507-1350-1112,NO INFO,"안녕하세요 카페홀트 입니다. 매장 내 취식, 테이크 아웃으로 운영되고 있사오니 많은 이용 부탁드립니다!",공사중,"{'커피가 맛있어요': '9', '친절해요': '9', '디저트가 맛있어요': '7', '음료가 맛있어요': '5'}"
