,사업장명,카페이름,별점,방문자리뷰수,블로그리뷰수,주소,영업시간,전화번호,연결사이트,설명,메뉴,키워드
156,봉덕3동 네쥬,네쥬,4.65,602,798,대구 남구 중앙대로30길 37,12:00 - 24:00,053-283-0405,http://instagram.com/cafe.neige,"인절미라떼/에그타르트/크로플
대구카페/봉덕동카페/대관카페/
주택카페/주택개조카페/다락방카페/감성카페/대구핫플/대구대관/대구네쥬/",공사중,"{'디저트가 맛있어요': '235', '인테리어가 멋져요': '190', '커피가 맛있어요': '162', '사진이 잘 나와요': '136', '음료가 맛있어요': '122', '특별한 메뉴가 있어요': '96', '매장이 청결해요': '86', '뷰가 좋아요': '76', '친절해요': '75', '대화하기 좋아요': '64', '주차하기 편해요': '36', '집중하기 좋아요': '27', '화장실이 깨끗해요': '23', '좌석이 편해요': '17', '가성비가 좋아요': '12'}"
157,대명5동 카페빅플랫,빅플랫,초기값,95,143,대구 남구 중앙대로31길 103 빅플랫,NO INFO,0507-1388-7924,https://www.instagram.com/cafe_bigflat,"coffee and peaceful time! 아직도 맛있는 라떼를 찾아 헤매고 계시나요? 라떼 유목민을 위한 라떼 ! 고소한 블랜디드 라떼, 부드러운 슈페너...",공사중,"{'커피가 맛있어요': '67', '친절해요': '44', '뷰가 좋아요': '40', '디저트가 맛있어요': '29', '매장이 청결해요': '27', '인테리어가 멋져요': '26', '사진이 잘 나와요': '18', '음료가 맛있어요': '16', '대화하기 좋아요': '15', '가성비가 좋아요': '13', '특별한 메뉴가 있어요': '11', '집중하기 좋아요': '9', '좌석이 편해요': '8'}"
158,대명2동 아라커피,아라커피,4.28,57,초기값,대구 남구 중앙대로31길 155,NO INFO,053-211-9641,NO INFO,NO INFO,공사중,"{'커피가 맛있어요': '19', '친절해요': '9', '음료가 맛있어요': '5', '가성비가 좋아요': '5', '디저트가 맛있어요': '2', '특별한 메뉴가 있어요': '1', '매장이 청결해요': '1', '대화하기 좋아요': '1'}"
159,대명5동 케이클래스커피 본점,케이클래스커피 본점,4.49,135,37,대구 남구 중앙대로32길 10,12:00 - 23:00,053-473-4799,http://kclasscoffee.com/,NO INFO,공사중,"{'커피가 맛있어요': '37', '친절해요': '17', '좌석이 편해요': '13', '디저트가 맛있어요': '13', '집중하기 좋아요': '12'}"
160,봉덕1동 카페드로,카페드로,초기값,25,1,대구 남구 중앙대로32길 41 1층(봉덕동),08:30 - 21:00,0507-1367-1431,NO INFO,신선한 재료로 건강한 음료 만드는 카페입니다.,공사중,"{'커피가 맛있어요': '19', '친절해요': '17', '인테리어가 멋져요': '15', '디저트가 맛있어요': '10', '음료가 맛있어요': '9', '매장이 청결해요': '7', '가성비가 좋아요': '6', '사진이 잘 나와요': '5', '대화하기 좋아요': '5', '화장실이 깨끗해요': '3', '좌석이 편해요': '2', '아늑해요': '1', '집중하기 좋아요': '1'}"
161,대명2동 캔버스 교대점,캔버스교대점,4.58,353,초기값,대구 남구 중앙대로42길 1,08:00 - 21:00,053-243-2173,NO INFO,NO INFO,공사중,"{'커피가 맛있어요': '224', '친절해요': '161', '가성비가 좋아요': '47', '음료가 맛있어요': '41', '매장이 청결해요': '16', '디저트가 맛있어요': '12', '특별한 메뉴가 있어요': '7', '인테리어가 멋져요': '4', '주차하기 편해요': '2', '사진이 잘 나와요': '2', '뷰가 좋아요': '2', '좌석이 편해요': '1', '집중하기 좋아요': '1', '대화하기 좋아요': '1', '화장실이 깨끗해요': '1'}"
162,이천동 베어쉽하우스,베어쉽하우스,초기값,62,5,대구 남구 중앙대로46길 62 1층,NO INFO,0507-1316-6436,https://www.instagram.com/cafe_bearsheep.haus,"현재 매장 이전 준비로 매장 운영을 중단하게 되었습니다. 당분간 예약제로 운영되며 케이크와 단체주문 답례품 예약 문의는 매장 전화 또는 '베어쉽하우스' 카카오톡으로 문의 바랍니다.

베어쉽하우스는 곰과 양 둘이 만나 달콤하고 건강한 라이프를 만들어 가고자 합니다!
저희는 합성첨가물 없이 사탕수수원당(비정제당), 우리 쌀, 제철과일로 모든 메뉴를 직접 만듭니다. [+ only 글루텐 프리 디저트]

기존에 흔히 드시던 백설탕이 아닌 정제되지 않은 사탕수수원당 100%로 만들기에 달콤한 디저트도 부담 없이 드시기 좋아요.

영선 초등학교 근처 골목의 작은 매장에서 포장 전문으로 운영하고 있습니다.

매장 방문 포장시 음료는 500원 할인 적용되니 많이 이용해 주세요.

단체 주문 및 예약 문의는 언제든 환영입니다.
네이버 연결 전화 또는 카카오톡에서 '베어쉽하우스'를 검색하여 편하게 문의 주시면 되세요.",공사중,"{'커피가 맛있어요': '42', '친절해요': '39', '디저트가 맛있어요': '38', '음료가 맛있어요': '26', '특별한 메뉴가 있어요': '20', '매장이 청결해요': '20', '인테리어가 멋져요': '18', '가성비가 좋아요': '9', '사진이 잘 나와요': '6', '화장실이 깨끗해요': '5'}"
163,대명2동 반할커피 남구점,반할커피 남구점,4.74,49,초기값,대구 남구 중앙대로48길 20-2,08:00 - 24:00,0507-1328-6990,NO INFO,NO INFO,공사중,"{'커피가 맛있어요': '21', '친절해요': '12', '가성비가 좋아요': '11', '음료가 맛있어요': '6', '디저트가 맛있어요': '2', '매장이 청결해요': '2', '좌석이 편해요': '1'}"
164,남산3동 퐁당,퐁당,4.53,202,43,대구 남구 중앙대로49길 14,NO INFO,070-7764-3535,NO INFO,NO INFO,공사중,"{'친절해요': '56', '음료가 맛있어요': '53', '디저트가 맛있어요': '50', '커피가 맛있어요': '38', '특별한 메뉴가 있어요': '35', '인테리어가 멋져요': '24', '사진이 잘 나와요': '21', '매장이 청결해요': '12', '대화하기 좋아요': '10', '가성비가 좋아요': '6', '좌석이 편해요': '5', '뷰가 좋아요': '4', '집중하기 좋아요': '2', '차분한 분위기에요': '1', '아늑해요': '1', '주차하기 편해요': '1'}"
165,대명10동 파가니니,파가나악기,4.79,66,10,대구 남구 중앙대로49길 14 1층,10:00 - 19:30,053-628-0513,#파가니니,현악기및 관악기 전문업체...현악기수리.고나악기수리,공사중,"{'친절해요': '10', '품질이 좋아요': '10', '종류가 다양해요': '6', '시설이 깔끔해요': '4', '분위기가 편안해요': '4', '가성비가 좋아요': '3', '비싼 만큼 가치있어요': '2', '특색 있는 제품이 많아요': '2', '주차하기 편해요': '1'}"
