,사업장명,카페이름,별점,방문자리뷰수,블로그리뷰수,주소,영업시간,전화번호,연결사이트,설명,메뉴,키워드
313,유천동 카페또보아,카페또보아,초기값,79,6,대구 달서구 비슬로 2728-14 미진상가 1층,09:00 - 21:00,053-633-4354,https://www.instagram.com/cafe_ddoboa,NO INFO,공사중,"{'커피가 맛있어요': '48', '친절해요': '35', '음료가 맛있어요': '28', '매장이 청결해요': '27', '디저트가 맛있어요': '19', '인테리어가 멋져요': '14', '가성비가 좋아요': '13', '대화하기 좋아요': '10', '집중하기 좋아요': '9', '특별한 메뉴가 있어요': '7', '좌석이 편해요': '5', '사진이 잘 나와요': '4'}"
314,진천동 로지트,로지트,4.7,104,12,대구 달서구 비슬로542길 24 1층,NO INFO,0507-1320-7232,NO INFO,NO INFO,공사중,"{'커피가 맛있어요': '34', '음료가 맛있어요': '24', '디저트가 맛있어요': '17', '특별한 메뉴가 있어요': '13', '친절해요': '8', '가성비가 좋아요': '2'}"
315,유천동 달콤현주씨,달콤현주씨,초기값,57,7,대구 달서구 비슬로550길 30 1층,09:00 - 21:00,0507-1389-7819,NO INFO,쥔장이 직접만드는 디저트카페 전문점..,공사중,"{'커피가 맛있어요': '44', '친절해요': '26', '디저트가 맛있어요': '22', '음료가 맛있어요': '19', '가성비가 좋아요': '18', '매장이 청결해요': '16', '특별한 메뉴가 있어요': '8', '인테리어가 멋져요': '5', '좌석이 편해요': '1', '아늑해요': '1', '포장이 깔끔해요': '1', '주차하기 편해요': '1', '집중하기 좋아요': '1', '화장실이 깨끗해요': '1'}"
316,상인1동 오마이그릭,오마이그릭,초기값,60,27,대구 달서구 상원로 128 센트럴빌딩 1층,11:00 - 21:00,010-4624-5218,https://www.instagram.com/oh.my.greek,NO INFO,공사중,"{'디저트가 맛있어요': '38', '친절해요': '33', '인테리어가 멋져요': '30', '특별한 메뉴가 있어요': '30', '매장이 청결해요': '16', '커피가 맛있어요': '14', '음료가 맛있어요': '11', '사진이 잘 나와요': '11', '가성비가 좋아요': '7', '주차하기 편해요': '3'}"
317,월성1동 천씨씨커피 대구신월성점,천씨씨커피 신월성점,4.68,136,초기값,대구 달서구 상원로 175 조암빌딩 1층,08:30 - 22:30,070-7808-1500,https://blog.naver.com/ehehf123/222262477924,"전국에서 제일 싸고! 크고! 맛있다!!
안녕하세요 천씨씨커피 신월성점입니다 !! 테이크아웃 및 매장이용도 가능하오니 오셔서 즐거운 시간 보내세요^^감사합니다",공사중,"{'가성비가 좋아요': '43', '커피가 맛있어요': '31', '음료가 맛있어요': '22', '친절해요': '22', '특별한 메뉴가 있어요': '7', '매장이 청결해요': '5', '디저트가 맛있어요': '3', '좌석이 편해요': '1', '인테리어가 멋져요': '1', '주차하기 편해요': '1', '집중하기 좋아요': '1', '대화하기 좋아요': '1', '뷰가 좋아요': '1'}"
318,월성1동 코타커피 월성점,코타커피 월성점,초기값,187,137,대구 달서구 상원로 179-12 1층 코타커피,"08:00 - 22:00
21:30 라스트오더",010-8349-1033,https://www.instagram.com/cottacoffee_ws,Happy Cotta Time :),공사중,"{'커피가 맛있어요': '94', '인테리어가 멋져요': '83', '친절해요': '81', '디저트가 맛있어요': '58', '사진이 잘 나와요': '47', '매장이 청결해요': '39', '음료가 맛있어요': '37', '특별한 메뉴가 있어요': '28', '좌석이 편해요': '19', '대화하기 좋아요': '18', '화장실이 깨끗해요': '12', '뷰가 좋아요': '12', '가성비가 좋아요': '6', '집중하기 좋아요': '6', '주차하기 편해요': '4'}"
319,월성1동 컵넛 월성점,컵넛 월성점,초기값,389,319,"대구 달서구 상원로 179-9 1층, 2층",10:30 - 22:00,010-4014-8796,NO INFO,"쫄깃하고 신선한 도넛과 디저트를 위해 매일 아침 직접 생산하고 있으며, 당일판매를 원칙으로 하고있습니다:)",공사중,"{'디저트가 맛있어요': '258', '친절해요': '123', '커피가 맛있어요': '122', '인테리어가 멋져요': '90', '특별한 메뉴가 있어요': '78', '매장이 청결해요': '74', '음료가 맛있어요': '73', '사진이 잘 나와요': '60', '주차하기 편해요': '42', '대화하기 좋아요': '34', '화장실이 깨끗해요': '19', '가성비가 좋아요': '16', '좌석이 편해요': '11', '뷰가 좋아요': '9', '집중하기 좋아요': '5', '야외 공간이 멋져요': '1', '포장이 깔끔해요': '1'}"
320,월성2동 투썸플레이스 대구월성점,투썸플레이스 대구월성점,4.46,1875,48,대구 달서구 상원로 187,09:00 - 24:00,0507-1445-2211,http://www.twosome.co.kr/,NO INFO,공사중,"{'커피가 맛있어요': '483', '디저트가 맛있어요': '338', '음료가 맛있어요': '237', '대화하기 좋아요': '196', '친절해요': '155', '좌석이 편해요': '150', '매장이 청결해요': '143', '인테리어가 멋져요': '63', '주차하기 편해요': '60', '집중하기 좋아요': '54', '특별한 메뉴가 있어요': '48', '뷰가 좋아요': '37', '가성비가 좋아요': '33', '화장실이 깨끗해요': '27', '사진이 잘 나와요': '21', '룸이 잘 되어있어요': '1'}"
321,월성1동 카페봄봄 신월성점,카페봄봄 신월성점,4.54,187,초기값,대구 달서구 상원로 192,09:00 - 23:00,053-201-1127,http://www.cafebombom.co.kr/,"Cafe 봄봄은 모든 연령대가 즐길 수 있는 매장입니다.
Cafe 봄봄에서 따스하고 산뜻한 봄을 한 잔 마시고, 잠시 여유를 가져 보길 바라는 마음입니다.",공사중,"{'음료가 맛있어요': '57', '커피가 맛있어요': '47', '가성비가 좋아요': '45', '친절해요': '27', '디저트가 맛있어요': '18', '특별한 메뉴가 있어요': '10', '매장이 청결해요': '6', '좌석이 편해요': '2', '인테리어가 멋져요': '2', '주차하기 편해요': '2', '대화하기 좋아요': '2', '뷰가 좋아요': '2', '사진이 잘 나와요': '1', '집중하기 좋아요': '1', '화장실이 깨끗해요': '1'}"
322,상인2동 모모커피,모모커피 상인점,4.78,144,15,대구 달서구 상원로 87,08:30 - 24:00,053-634-3405,NO INFO,NO INFO,공사중,"{'커피가 맛있어요': '25', '친절해요': '24', '가성비가 좋아요': '15', '음료가 맛있어요': '14', '대화하기 좋아요': '8', '좌석이 편해요': '7', '매장이 청결해요': '7', '디저트가 맛있어요': '6', '집중하기 좋아요': '5', '인테리어가 멋져요': '4', '화장실이 깨끗해요': '3', '주차하기 편해요': '2', '특별한 메뉴가 있어요': '1'}"
