,사업장명,카페이름,별점,방문자리뷰수,블로그리뷰수,주소,영업시간,전화번호,연결사이트,설명,메뉴,키워드
469,상인3동 에브리커피 도원점,에브리커피 대구도원점,초기값,123,6,"대구 달서구 월곡로 113-2 1층, 2층",08:00 - 21:00,010-7653-5227,NO INFO,맛있는 스페셜티 커피와 크로플이 있는 카페입니다,공사중,"{'커피가 맛있어요': '66', '친절해요': '53', '디저트가 맛있어요': '42', '가성비가 좋아요': '38', '음료가 맛있어요': '35', '매장이 청결해요': '21', '특별한 메뉴가 있어요': '14', '뷰가 좋아요': '12', '인테리어가 멋져요': '8', '대화하기 좋아요': '8', '집중하기 좋아요': '5', '사진이 잘 나와요': '1'}"
470,상인2동 레드하우스,레드하우스,4.51,114,23,대구 달서구 월곡로 135-10,11:00 - 23:00,053-635-1919,https://blog.naver.com/espresso_red,NO INFO,공사중,"{'커피가 맛있어요': '22', '친절해요': '16', '대화하기 좋아요': '12', '음료가 맛있어요': '11', '매장이 청결해요': '8', '좌석이 편해요': '6', '디저트가 맛있어요': '6', '화장실이 깨끗해요': '5', '인테리어가 멋져요': '3', '주차하기 편해요': '3', '사진이 잘 나와요': '3', '특별한 메뉴가 있어요': '3', '집중하기 좋아요': '2', '가성비가 좋아요': '1'}"
471,상인3동 투썸플레이스 대구월광수변공원점,투썸플레이스 대구월광수변공원점,초기값,478,35,대구 달서구 월곡로 14,09:00 - 24:00,0507-1434-8024,NO INFO,"수변공원뷰맛집!! 커피와 케이크가 맛있는 월광수변공원점 투썸플레이스입니다^^
홀케이크, 단체석 예약 주문가능합니다! 감사합니다^^",공사중,"{'커피가 맛있어요': '208', '디저트가 맛있어요': '113', '음료가 맛있어요': '97', '매장이 청결해요': '93', '친절해요': '73', '대화하기 좋아요': '70', '뷰가 좋아요': '70', '좌석이 편해요': '59', '인테리어가 멋져요': '58', '주차하기 편해요': '58', '화장실이 깨끗해요': '20', '사진이 잘 나와요': '14', '가성비가 좋아요': '11', '특별한 메뉴가 있어요': '7', '집중하기 좋아요': '7'}"
472,상인3동 리리카페,리리카페,4.66,89,39,대구 달서구 월곡로 184 리빙프라자 101호 리리카페,NO INFO,0507-1338-0964,https://instagram.com/nalee_hyeri?igshid=1cuqab4pggdgw,NO INFO,공사중,"{'디저트가 맛있어요': '39', '특별한 메뉴가 있어요': '29', '친절해요': '28', '커피가 맛있어요': '27', '가성비가 좋아요': '23', '음료가 맛있어요': '17', '대화하기 좋아요': '10', '매장이 청결해요': '9', '좌석이 편해요': '6', '인테리어가 멋져요': '2', '주차하기 편해요': '1', '사진이 잘 나와요': '1', '뷰가 좋아요': '1'}"
473,상인1동 카페봄봄 월곡점,카페봄봄 월곡점,초기값,20,1,대구 달서구 월곡로 184 상인리빙프라자 1층 104호,08:00 - 22:00,0507-1309-2803,http://www.cafebombom.co.kr/,"Cafe 봄봄은 모든 연령대가 즐길 수 있는 매장입니다.
Cafe 봄봄에서 따스하고 산뜻한 봄을 한 잔 마시고, 잠시 여유를 가져 보길 바라는 마음입니다.",공사중,"{'친절해요': '11', '가성비가 좋아요': '8', '커피가 맛있어요': '7', '음료가 맛있어요': '6', '매장이 청결해요': '5', '좌석이 편해요': '2', '주차하기 편해요': '2', '특별한 메뉴가 있어요': '2'}"
474,상인3동 투썸플레이스 대구월곡로점,투썸플레이스 대구월곡로점,초기값,1579,37,대구 달서구 월곡로 213,08:30 - 24:00,053-644-2525,https://blog.naver.com/noblesse1216,NO INFO,공사중,"{'커피가 맛있어요': '561', '디저트가 맛있어요': '394', '매장이 청결해요': '322', '주차하기 편해요': '314', '음료가 맛있어요': '261', '좌석이 편해요': '237', '친절해요': '229', '대화하기 좋아요': '220', '인테리어가 멋져요': '204', '화장실이 깨끗해요': '104', '집중하기 좋아요': '85', '특별한 메뉴가 있어요': '57', '가성비가 좋아요': '43', '뷰가 좋아요': '41', '사진이 잘 나와요': '33'}"
475,상인2동 비치클럽커피 상인역점,비치클럽커피 상인역점,4.21,96,36,대구 달서구 월곡로 253 비치클럽커피2층,12:00 - 01:00,0507-1439-8050,NO INFO,"안녕하십니까 비치클럽커피입니다.
이번에 수제생지로 직접 굽는 크로플,크로샌드 시작하였습니다.
다양한 크로플, 크로샌드, 음료 준비해두었습니다.
많은관심과 사랑 부탁드립니다.
홀 + 포장가능.
단체손님및 예약 환영합니다~~^^
비치클럽커피2층 으로 오시면됩니다.
주소 : 대구 달서구 월곡로253",공사중,"{'친절해요': '17', '커피가 맛있어요': '16', '음료가 맛있어요': '16', '대화하기 좋아요': '15', '디저트가 맛있어요': '13', '인테리어가 멋져요': '13', '집중하기 좋아요': '6', '좌석이 편해요': '5', '사진이 잘 나와요': '4', '매장이 청결해요': '4', '가성비가 좋아요': '3', '특별한 메뉴가 있어요': '3', '주차하기 편해요': '1', '화장실이 깨끗해요': '1', '뷰가 좋아요': '1'}"
476,상인2동 마실커피 상인점,마실커피 상인점,4.63,178,19,대구 달서구 월곡로 255 1층 마실커피 상인점,10:00 - 01:00,0507-1346-0652,NO INFO,"마실커피 상인점이 오픈했습니다
음료의 맛과 서비스가 매장에서와 같이 실망시키지않고 항상 만족스러운 모습을 보여드리기 위해 노력하겠습니다.
아라비카100%의 원두와 원유100%의 우유를 사용하여 최고의 맛을 낼 수 있도록 최고급 재료로 제조합니다. 1리터까지의 풍성하고 맛 좋은 음료를 만들어 제공하겠습니다!",공사중,"{'커피가 맛있어요': '82', '친절해요': '45', '가성비가 좋아요': '42', '음료가 맛있어요': '39', '매장이 청결해요': '18', '대화하기 좋아요': '12', '디저트가 맛있어요': '11', '좌석이 편해요': '7', '인테리어가 멋져요': '4', '사진이 잘 나와요': '4', '특별한 메뉴가 있어요': '3', '화장실이 깨끗해요': '3', '주차하기 편해요': '1', '집중하기 좋아요': '1'}"
477,상인1동 키토생활,키토생활,4.43,120,35,대구 달서구 월곡로 260 2층 키토생활,NO INFO,0507-1316-5759,http://www.instagram.com/ketolife_cafe,"안녕하세요 키토생활 입니다. NO 설탕 NO 밀가 루 NO 글루텐 키토제닉 디저트류, 음료를 판매하 고 있습니다 온데이한의원 2층 맞은편에 ...",공사중,"{'특별한 메뉴가 있어요': '47', '디저트가 맛있어요': '31', '친절해요': '29', '커피가 맛있어요': '27', '매장이 청결해요': '19', '대화하기 좋아요': '18', '음료가 맛있어요': '16', '가성비가 좋아요': '14', '인테리어가 멋져요': '7', '주차하기 편해요': '6', '집중하기 좋아요': '6', '좌석이 편해요': '3', '사진이 잘 나와요': '3', '화장실이 깨끗해요': '1'}"
478,상인1동 벌크커피 상인점,벌크커피 상인점,4.53,423,12,대구 달서구 월곡로 260 상인프라자 1층,07:00 - 01:00,0507-1349-4331,NO INFO,NO INFO,공사중,"{'커피가 맛있어요': '87', '친절해요': '64', '가성비가 좋아요': '56', '음료가 맛있어요': '51', '매장이 청결해요': '40', '대화하기 좋아요': '29', '디저트가 맛있어요': '19', '좌석이 편해요': '16', '인테리어가 멋져요': '15', '특별한 메뉴가 있어요': '9', '사진이 잘 나와요': '5', '집중하기 좋아요': '5', '화장실이 깨끗해요': '4', '주차하기 편해요': '3', '뷰가 좋아요': '1'}"
