,사업장명,카페이름,별점,방문자리뷰수,블로그리뷰수,주소,영업시간,전화번호,연결사이트,설명,메뉴,키워드
626,진천동 더리터 대구진천역점,더리터 진천역점,4.53,235,초기값,대구 달서구 진천로 77,NO INFO,053-633-3648,NO INFO,NO INFO,공사중,"{'커피가 맛있어요': '59', '가성비가 좋아요': '37', '친절해요': '28', '음료가 맛있어요': '24', '매장이 청결해요': '12', '디저트가 맛있어요': '4', '특별한 메뉴가 있어요': '3', '사진이 잘 나와요': '2', '좌석이 편해요': '1', '인테리어가 멋져요': '1', '양이 많아요': '1', '대화하기 좋아요': '1', '뷰가 좋아요': '1'}"
627,월성1동 공차 대구월배점,공차 대구월배점,4.41,1117,초기값,대구 달서구 진천로 92,NO INFO,053-636-6898,NO INFO,NO INFO,공사중,"{'음료가 맛있어요': '185', '차가 맛있어요': '114', '친절해요': '84', '주차하기 편해요': '46', '특별한 메뉴가 있어요': '30', '매장이 청결해요': '25', '디저트가 맛있어요': '20', '가성비가 좋아요': '19', '대화하기 좋아요': '7', '화장실이 깨끗해요': '6', '인테리어가 멋져요': '4', '좌석이 편해요': '2', '사진이 잘 나와요': '2', '집중하기 좋아요': '2', '뷰가 좋아요': '1'}"
628,진천동 숭구리달당,숭구리달당,4.83,99,99,대구 달서구 진천로10길 35,13:00 - 19:00,010-4658-5007,https://rotorl040.modoo.at,소금빵과 마카롱 휘낭시에등을 인터넷 판매하고 있습니다.,공사중,"{'디저트가 맛있어요': '70', '친절해요': '60', '선물하기 좋아요': '47', '특별한 메뉴가 있어요': '35', '가성비가 좋아요': '27', '매장이 청결해요': '19', '커피가 맛있어요': '14', '인테리어가 멋져요': '9', '음료가 맛있어요': '7', '사진이 잘 나와요': '2', '집중하기 좋아요': '2', '대화하기 좋아요': '1', '뷰가 좋아요': '1'}"
629,진천동 스테디커피 진천본점,스테디커피 본점,초기값,106,78,대구 달서구 진천로10길 90-3 1층,"08:00 - 20:00
19:30 라스트오더",070-7573-2470,https://www.instagram.com/steady.coffee,"영업시간은 평일 오전 8시~오후 8시
주말 오전 10시~오후 8시입니다

변함없는 커피, 준비하고있겠습니다
감사합니다^^",공사중,"{'커피가 맛있어요': '86', '음료가 맛있어요': '27', '인테리어가 멋져요': '27', '친절해요': '26', '매장이 청결해요': '25', '특별한 메뉴가 있어요': '24', '대화하기 좋아요': '17', '사진이 잘 나와요': '14', '가성비가 좋아요': '14', '뷰가 좋아요': '12', '좌석이 편해요': '9', '집중하기 좋아요': '8', '화장실이 깨끗해요': '8'}"
630,진천동 푸푸커피 진천점,푸푸커피 진천점,초기값,93,28,대구 달서구 진천로16길 26 라온프라이빗센텀상가 1층,NO INFO,070-4797-6969,https://www.instagram.com/fufu_coffee_jincheon,"푸푸커피는 계절을 담는 감성 커피 전문점입니다.
엄선된 원두로 추출하는 커피와 다양하게 즐길수 있는 크로플을 선보이는 푸푸커피는 계절과 함께 옷을 갈아입으면서 여러분의 감성을 자극합니다.
누구나 편하게 쉬어가고 싶어지는 아늑한 공간, 따뜻한 커피와 크로플이라면 일상 속 행복을 느낄수 있습니다.",공사중,"{'디저트가 맛있어요': '50', '커피가 맛있어요': '47', '친절해요': '35', '매장이 청결해요': '24', '음료가 맛있어요': '23', '가성비가 좋아요': '12', '대화하기 좋아요': '11', '인테리어가 멋져요': '9', '주차하기 편해요': '8', '사진이 잘 나와요': '5', '집중하기 좋아요': '3', '좌석이 편해요': '2', '특별한 메뉴가 있어요': '2', '화장실이 깨끗해요': '2'}"
631,진천동 그린플레이트,그린플레이트,4.73,246,77,대구 달서구 진천로16길 67-4 그린플레이트,10:00 - 20:00,053-635-7744,http://instagram.com/greenplate_,"안녕하세요 그린플레이트입니다.
저희는 매장에 방문 해 주시는 분들께 항상 신선한 재료를 제공하기 위해 매일 장을 보고있답니다.
주문과 동시에 조리에 들어가므로 20~30분 정도 소요 될수 있는 점 양해 부탁드려요
샐러드 뿐 아니라 커피나 음료도 신경써서 준비 했으니 가볍게 커피 한잔 하러 오셔도 됩니다.
제철에 따라 사용하는 야채와 과일이 매일매일 다릅니다.
알레르기(복숭아,견과류 외)가 있으신 분들은 미리 말씀 해 주시면 신속히 대처 해 드릴게요.
마감시간과 별개로 재료 소진 시 조기마감 합니다^^
감사합니다",공사중,"{'친절해요': '71', '매장이 청결해요': '62', '특별한 메뉴가 있어요': '55', '커피가 맛있어요': '40', '인테리어가 멋져요': '33', '음료가 맛있어요': '29', '디저트가 맛있어요': '24', '가성비가 좋아요': '23', '대화하기 좋아요': '20', '사진이 잘 나와요': '13', '좌석이 편해요': '11', '건강한 맛이에요': '5', '뷰가 좋아요': '5', '재료가 신선해요': '4', '화장실이 깨끗해요': '4', '음식이 맛있어요': '3', '집중하기 좋아요': '3', '아늑해요': '1', '아이와 가기 좋아요': '1'}"
632,진천동 엘아르카 레푸스 진천점,엘아르카 레푸스 진천점,4.8,67,21,대구 달서구 진천로3길 5,09:00 - 21:00,053-642-7675,NO INFO,NO INFO,공사중,"{'친절해요': '17', '커피가 맛있어요': '15', '디저트가 맛있어요': '13', '음료가 맛있어요': '7', '인테리어가 멋져요': '6', '매장이 청결해요': '5', '가성비가 좋아요': '3', '특별한 메뉴가 있어요': '3', '좌석이 편해요': '2', '집중하기 좋아요': '2', '화장실이 깨끗해요': '2', '사진이 잘 나와요': '1', '대화하기 좋아요': '1'}"
633,두류1동 캣월드,캣월드,초기값,24,255,대구 달서구 파도고개로 147 1층,NO INFO,010-3157-5522,https://blog.naver.com/ecatworld,"가정형고양이카페
커피전문점 음료
쾌적한 고양이카페
안전하게보호자와 함께하는 오픈미용실

.",공사중,"{'친절해요': '8', '동물을 배려한 환경이에요': '7', '음료가 맛있어요': '1', '시설이 깔끔해요': '1', '사진이 잘 나와요': '1', '가격이 합리적이에요': '1'}"
634,두류1동 버블앤,버블앤,4.91,49,초기값,대구 달서구 파도고개로 199,12:00 - 23:00,010-7122-5683,NO INFO,NO INFO,공사중,"{'커피가 맛있어요': '21', '디저트가 맛있어요': '14', '친절해요': '12', '가성비가 좋아요': '9', '매장이 청결해요': '8', '음료가 맛있어요': '6', '대화하기 좋아요': '4', '화장실이 깨끗해요': '4', '좌석이 편해요': '3', '집중하기 좋아요': '3', '주차하기 편해요': '2', '특별한 메뉴가 있어요': '2', '인테리어가 멋져요': '1', '사진이 잘 나와요': '1', '뷰가 좋아요': '1'}"
635,성당동 소쿠리과자점,소쿠리 과자점,초기값,27,2,대구 달서구 파도고개로 25 1층 3호,NO INFO,0507-1326-9326,https://www.instagram.com/sokuri_cookieshop,"안녕하세요:)
소쿠리과자점은 파도고개 끝자락에 위치한 작은 가게입니다. 맛있고 귀여운 디저트를 판매해요.
케익, 파이, 구움과자, 크림푸딩까지!
다양한 간식과 음료를 함께 즐겨보세요.

* 동물성 생크림과 휘핑크림
* 뉴질랜드산 프레쉬 버터
* 프랑스산 크림치즈와 코코아가루
* 벨기에산 초콜릿
을 사용하며, 정성을 담아 직접 만들고 구워냅니다.",공사중,"{'친절해요': '22', '빵이 맛있어요': '18', '매장이 청결해요': '15', '특별한 메뉴가 있어요': '14'}"
