,사업장명,카페이름,별점,방문자리뷰수,블로그리뷰수,주소,영업시간,전화번호,연결사이트,설명,메뉴,키워드
0,내당4동 카페점보 달서점,카페점보 달서점,초기값,49,2,대구 달서구 달구벌대로 1700 1층,00:00 - 24:00,053-561-2002,NO INFO,"<주차 가능> 광장갈비 주차장 이용하시고 저희 카운터에 말씀해주시면 됩니다^^
오늘 하루도 열심히 달려온 나를 위한 한 잔. 고소한 커피, 달달한 라떼, 시원한 에이드, 상큼한 과일주스, 달콤한 디저트를 카페점보에서 즐겨보세요. 항상 곁에서 힘이 되겠습니다! 캔포장, 단체주문 가능하니 언제든 전화 문의주세요^^ 디저트 메뉴는 15분 이상 소요되니 미리 주문 부탁드립니다~~",공사중,"{'음료가 맛있어요': '30', '친절해요': '29', '가성비가 좋아요': '20', '커피가 맛있어요': '18', '매장이 청결해요': '17', '디저트가 맛있어요': '14', '특별한 메뉴가 있어요': '9', '화장실이 깨끗해요': '6', '주차하기 편해요': '3', '좌석이 편해요': '2', '인테리어가 멋져요': '2', '대화하기 좋아요': '2', '아늑해요': '1', '재료가 신선해요': '1', '포장이 깔끔해요': '1', '집중하기 좋아요': '1'}"
1,대명3동 브루키,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값
2,내당4동 홈인팜스,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값
3,평리6동 별들의다방 북부정류장점,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값
4,안심4동 더리터 대구신기점,더리터 대구신기점,초기값,214,7,대구 동구 율하동로24길 19,NO INFO,053-964-1902,http://www.theliter.co.kr/,NO INFO,공사중,"{'가성비가 좋아요': '46', '커피가 맛있어요': '35', '음료가 맛있어요': '30', '친절해요': '19', '디저트가 맛있어요': '8', '매장이 청결해요': '6', '좌석이 편해요': '3', '주차하기 편해요': '3', '특별한 메뉴가 있어요': '3', '인테리어가 멋져요': '1', '사진이 잘 나와요': '1', '화장실이 깨끗해요': '1'}"
5,안심4동 한점푸르른땅,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값
6,평리3동 커피그리다,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값
7,대명11동 믹스커피,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값
8,대명2동 카페오트,검색결과 없음,,,,,,,,,,
9,대명6동 카페 늘,카페 늘,5,32,초기값,대구 남구 대명로 25 1층 카페 늘,09:00 - 19:00,0507-1461-2838,NO INFO,"스페셜티원두,
수제디저트,
수제청에이드,
프랑스 수입 생지 사용 크로플, 크로아상,
제주유기농말차",공사중,"{'커피가 맛있어요': '14', '친절해요': '12', '매장이 청결해요': '6', '가성비가 좋아요': '5', '디저트가 맛있어요': '4', '음료가 맛있어요': '4', '인테리어가 멋져요': '4', '대화하기 좋아요': '4', '좌석이 편해요': '3', '사진이 잘 나와요': '2', '화장실이 깨끗해요': '2', '주차하기 편해요': '1', '특별한 메뉴가 있어요': '1', '집중하기 좋아요': '1', '뷰가 좋아요': '1'}"
