,사업장명,카페이름,별점,방문자리뷰수,블로그리뷰수,주소,영업시간,전화번호,연결사이트,설명,메뉴,키워드
7,신천2동 시월보름,시월보름,초기값,49,9,대구 동구 동부로 29 101동 1층 106호,09:00 - 18:00,010-8330-3992,NO INFO,전화로 선주문 가능합니다 :),공사중,초기값
8,남산2동 캠프바이 커피명가,커피명가 캠프바이커피명가,4.51,639,128,대구 중구 서성로 20 매일신문사 사옥 1층,08:00 - 21:00,053-422-0892,http://www.myungga.com,"중요한 결정을 하는 작전 캠프처럼 또는 편안한 휴식이 있는
캠핑장의 캠프처럼
공간이 활용되기를 희망하며 만들어졌습니다.

갤러리와 함께 하는 넓은 공간과 계산 성당 방향으로 밝게 트인 전망
따뜻한 볕이 가득 드는 창 너머로 들리는 성당의 종소리가 마음을 편하게 하는 공간입니다.

평온한 시간을 준비하겠습니다.",공사중,"{'커피가 맛있어요': '21', '친절해요': '16', '음료가 맛있어요': '12', '매장이 청결해요': '10', '대화하기 좋아요': '8', '디저트가 맛있어요': '6', '가성비가 좋아요': '5'}"
9,신암3동 베이크화목,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,"{'커피가 맛있어요': '225', '디저트가 맛있어요': '97', '매장이 청결해요': '88', '대화하기 좋아요': '84', '음료가 맛있어요': '81', '친절해요': '79', '뷰가 좋아요': '58', '좌석이 편해요': '53', '인테리어가 멋져요': '50', '주차하기 편해요': '45', '특별한 메뉴가 있어요': '29', '사진이 잘 나와요': '23', '화장실이 깨끗해요': '20', '가성비가 좋아요': '15', '집중하기 좋아요': '15', '음식이 빨리 나와요': '1', '매장이 넓어요': '1', '오래 머무르기 좋아요': '1'}"
10,신암1동 크크.라니커피,크크.라니커피(KK.Rani coffe),초기값,26,1,대구 동구 아양로 7 (신암동),NO INFO,NO INFO,NO INFO,NO INFO,공사중,초기값
11,효목2동 연화,검색결과 없음,,,,,,,,,,"{'커피가 맛있어요': '9', '디저트가 맛있어요': '5', '친절해요': '5', '가성비가 좋아요': '5', '주차하기 편해요': '3', '음료가 맛있어요': '2', '뷰가 좋아요': '2', '인테리어가 멋져요': '1'}"
12,지저동 정다운커피숍,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,
13,남산3동 꾸덕꾸,꾸덕꾸,초기값,20,8,대구 남구 중앙대로51길 91-2,10:00 - 22:00,0507-1432-4014,NO INFO,"*꾸덕꾸 그릭요거트는 1A등급 원유와 100%유산균을 발효시켜 매장에서 직접 만드는 수제 그릭 요거트입니다
*과일콩포트와 그래놀라는 시판용 제품이아닌 매장에서 '100%수제'로 만들고있으며 일부 과일을 제외한 여러 과일들은 매일 아침 새벽시장에서 공수해온 신선한 과일을 이용하여 만들고 있습니다 안심하고 맛있게 즐겨주세요
*단체주문 조율 가능하니 2일전 연락부탁드립니다 !",공사중,초기값
14,성내3동 마카모디,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,"{'친절해요': '16', '디저트가 맛있어요': '13', '매장이 청결해요': '12', '특별한 메뉴가 있어요': '10', '인테리어가 멋져요': '6', '사진이 잘 나와요': '6', '좌석이 편해요': '5', '가성비가 좋아요': '2', '대화하기 좋아요': '2', '커피가 맛있어요': '1', '음료가 맛있어요': '1'}"
15,신암3동 스타벅스 신세계대구8F R점,스타벅스 신세계대구8FR점,4.55,5361,152,대구 동구 신천동 329-3,10:30 - 21:30,1522-3232,http://www.starbucks.co.kr/,1.주차가능 2.주차장위치-신세계백화점 지하주 차장 3.주차가능대수-100대이상 4.주차조건-매 장이용시 1시간 무료주차 5.주차요금정산...,공사중,초기값
16,동인동 카페퀸즈,카페퀸즈,4.63,122,초기값,대구 중구 동덕로40길 4,"10:30 - 22:00
21:30 라스트오더",0507-1357-5492,NO INFO,NO INFO,공사중,"{'커피가 맛있어요': '1589', '음료가 맛있어요': '728', '친절해요': '646', '디저트가 맛있어요': '406', '매장이 청결해요': '370', '주차하기 편해요': '294', '대화하기 좋아요': '287', '인테리어가 멋져요': '238', '특별한 메뉴가 있어요': '219', '화장실이 깨끗해요': '150', '좌석이 편해요': '147', '가성비가 좋아요': '117', '뷰가 좋아요': '115', '사진이 잘 나와요': '75', '집중하기 좋아요': '59', '룸이 잘 되어있어요': '1', '종류가 다양해요': '1'}"
17,성내2동 카페필름통,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,"{'친절해요': '35', '음료가 맛있어요': '31', '커피가 맛있어요': '28', '매장이 청결해요': '20', '인테리어가 멋져요': '18', '특별한 메뉴가 있어요': '12', '사진이 잘 나와요': '9', '대화하기 좋아요': '9', '디저트가 맛있어요': '8', '좌석이 편해요': '7', '뷰가 좋아요': '7', '가성비가 좋아요': '5', '주차하기 편해요': '4', '집중하기 좋아요': '3', '화장실이 깨끗해요': '3'}"
18,신암1동 헤이크로롱,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값
19,효목2동 츄릅츄릅,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값
