,사업장명,카페이름,별점,방문자리뷰수,블로그리뷰수,주소,영업시간,전화번호,연결사이트,설명,메뉴,키워드
0,죽전동 까치다방,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값
1,고산2동 다온,다온,초기값,25,3,대구 수성구 노변공원로 43 1층,"08:00 - 20:00
19:30 라스트오더",053-794-3121,NO INFO,노변공원 옆 귀여운 카페예요,공사중,"{'친절해요': '8', '커피가 맛있어요': '7', '인테리어가 멋져요': '5', '좌석이 편해요': '4'}"
2,고산1동 아틀리에빈 사월점,아틀리에빈 사월점,4.45,260,14,대구 수성구 달구벌대로 3300-5 공서빌딩,NO INFO,053-795-1305,NO INFO,아틀리에빈 사월점입니다:) 단체 주문전화문의 3만원 이상 배달해드립니다,공사중,"{'커피가 맛있어요': '78', '음료가 맛있어요': '28', '디저트가 맛있어요': '25', '친절해요': '24', '가성비가 좋아요': '23', '대화하기 좋아요': '19', '매장이 청결해요': '16', '좌석이 편해요': '13', '집중하기 좋아요': '10', '특별한 메뉴가 있어요': '8', '인테리어가 멋져요': '6', '사진이 잘 나와요': '4', '뷰가 좋아요': '2', '빵이 맛있어요': '1', '주차하기 편해요': '1'}"
3,유천동 커피라아,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값
4,본동 커피신,커피신,초기값,51,1,대구 달서구 학산로 130 올림픽기념국민생활관 1층,10:00 - 20:00,0507-1336-9599,NO INFO,"안녕하세요 커피신입니다.
저희 매장은 올림픽기념국민생활관,두류수영장,아양아트센터 직영점으로 운영됩니다. 커피신은 항상 고객님의 안락하고 시원한 휴식을 위해 항상 노력하고 있습니다.
1리터 아메리카노 매일 새벽에 직접 굽는 제빵 직접 만든 김밥 맛있는 한강라면등 음료 뿐아니라 다양한 종류의 먹을 거리를 제공하고 있습니다. 항상 고객님의 건강과 행복을 위해서 기도 하겠습니다. 감사드립니다.",공사중,"{'가성비가 좋아요': '12', '친절해요': '10', '음료가 맛있어요': '9', '대화하기 좋아요': '8', '매장이 청결해요': '7', '커피가 맛있어요': '5', '주차하기 편해요': '5', '좌석이 편해요': '2', '디저트가 맛있어요': '2', '인테리어가 멋져요': '1', '특별한 메뉴가 있어요': '1', '화장실이 깨끗해요': '1'}"
5,감삼동 빈방,빈방커피,초기값,9,4,대구 달서구 장기로 182 1층,00:00 - 24:00,053-559-5062,NO INFO,"대구 달서구 감삼동 24시무인카페 빈방커피입니다.
빈방커피는 무인카페이지만 프리미엄을 추구하고 있습니다,
스타벅스 고급원두를 사용중이며 다른 재료들도 프리미엄재료만을 사용중입니다.

오전에는 6차선 대로변에 위치하여 출근길 테이크아웃
점심이후는 지친 어머니들의 쉼터로 이용되고 있으며
저녁에는 학생들의 공부방으로 연인들의 데이트 장소로 사랑받고 있습니다.

가성비대비 최강맛집 아메리카노 1300원!!!
학생들의 인기메뉴 핫초코, 아이스초코
주말에는 아이들이 부모님을 데리고 많이 방문하고 있습니다.

친구, 연인, 부모님과 함께 방문하여 맛있는 빈방커피를 이용해보세요^^",공사중,리뷰 수 부족
6,이곡2동 와룡문화커피,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값
7,현풍읍 아침애식혜,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값
8,화원읍 온오븐,온오븐,초기값,97,12,대구 달성군 화원읍 비슬로 2635 104호,NO INFO,0507-1384-7050,NO INFO,커스텀 케이크 다양한 구움과자 디저트류 커피 음료 ---------------- 준비한 수량 전량 판매 시 조기 마감 될 수 있습니다,공사중,"{'디저트가 맛있어요': '87', '친절해요': '61', '매장이 청결해요': '37', '커피가 맛있어요': '34', '특별한 메뉴가 있어요': '32', '가성비가 좋아요': '17', '인테리어가 멋져요': '16', '음료가 맛있어요': '15', '사진이 잘 나와요': '5', '빵이 맛있어요': '1', '아늑해요': '1', '주문제작을 잘해줘요': '1', '음식이 맛있어요': '1', '선물하기 좋아요': '1'}"
9,상인2동 망원동티라미수 상인점,망원동티라미수 대구상인점,4.53,344,64,대구 달서구 월곡로 271 1층,11:00 - 22:00,053-633-2757,NO INFO,레트로한 매장에서 부드러운 티라미수와 고급스런 커피를 즐길 수 있는 망원동티라미수!,공사중,"{'디저트가 맛있어요': '68', '친절해요': '37', '커피가 맛있어요': '33', '음료가 맛있어요': '31', '특별한 메뉴가 있어요': '31', '매장이 청결해요': '22', '가성비가 좋아요': '18', '대화하기 좋아요': '15', '인테리어가 멋져요': '11', '사진이 잘 나와요': '6', '좌석이 편해요': '3', '화장실이 깨끗해요': '2', '주차하기 편해요': '1', '집중하기 좋아요': '1', '뷰가 좋아요': '1'}"
