,사업장명,카페이름,별점,방문자리뷰수,블로그리뷰수,주소,영업시간,전화번호,연결사이트,설명,메뉴,키워드
1566,고성동 이디야커피 대구시민운동장점,이디야커피 대구시민운동장점,4.44,340,22,대구 북구 침산로 38-1,10:00 - 21:00,053-352-4471,http://www.ediya.com/,"Always beside you, EDIYA COFFEE
일상 속 모두에게 커피를 통한 휴식과 영감을 제공하는 이디야커피는,
대한민국의 커피 문화를 만들어가는 가장 가까운 안식처입니다.",공사중,"{'커피가 맛있어요': '89', '음료가 맛있어요': '54', '친절해요': '41', '매장이 청결해요': '34', '집중하기 좋아요': '31'}"
1567,칠성동 팔공티 이마트칠성점,팔공티 이마트칠성점,4.38,1578,15,대구 북구 침산로 93,NO INFO,053-341-9031,http://www.palgongtea.co.kr/,"차 한잔 생각날 땐, 팔공티
오늘 하루 수고한 그대에게
가슴이 따뜻해지는 차 한잔을 선물합니다.

팔공티는 고품질의 차(茶)를 합리적인 가격에 제공하며,
남녀노소 모두에게 사랑받는 티(TEA) 전문 카페 프랜차이즈입니다.",공사중,"{'음료가 맛있어요': '371', '가성비가 좋아요': '314', '차가 맛있어요': '211', '주차하기 편해요': '139', '친절해요': '133'}"
1568,침산3동 요거프레소 침산푸르지오점,요거프레소 침산푸르지오점,4.38,155,16,대구 북구 침산로21길 23 침산1차푸르지오 105동 108호,09:00 - 22:00,053-351-2981,NO INFO,NO INFO,공사중,"{'커피가 맛있어요': '47', '친절해요': '29', '음료가 맛있어요': '24', '대화하기 좋아요': '17', '디저트가 맛있어요': '16', '가성비가 좋아요': '13', '매장이 청결해요': '12', '좌석이 편해요': '9', '특별한 메뉴가 있어요': '5', '주차하기 편해요': '3', '집중하기 좋아요': '3', '화장실이 깨끗해요': '2', '인테리어가 멋져요': '1'}"
1569,침산1동 텐퍼센트커피 대구침산점,텐퍼센트커피 대구침산점,5,88,29,대구 북구 침산로21길 23 침산1차푸르지오 상가 106동104호,08:00 - 21:00,0507-872-3867,http://www.tenpercentcoffee.com,텐퍼센트스페셜티커피 대구침산점 입니다.,공사중,"{'커피가 맛있어요': '52', '음료가 맛있어요': '31', '친절해요': '30', '가성비가 좋아요': '27', '매장이 청결해요': '18', '인테리어가 멋져요': '9', '특별한 메뉴가 있어요': '7', '디저트가 맛있어요': '6', '대화하기 좋아요': '3', '화장실이 깨끗해요': '1', '뷰가 좋아요': '1'}"
1570,칠성동 매스커피 침산점,매스커피 침산점,4.59,401,23,대구 북구 침산로21길 23 침산1차푸르지오아파트,08:00 - 21:00,053-351-6767,NO INFO,NO INFO,공사중,"{'커피가 맛있어요': '109', '음료가 맛있어요': '57', '친절해요': '47', '가성비가 좋아요': '39', '매장이 청결해요': '34'}"
1571,고성동 코르코르커피,코르코르커피 침산점,4.57,123,18,"대구 북구 침산로21길 39 태왕아너스로뎀오피스텔 107,205호",11:30 - 24:00,010-5771-0758,NO INFO,항상 여러분이 행복했으면 좋겠어요 단체 예약은 문자나 전화주세용,공사중,"{'친절해요': '44', '커피가 맛있어요': '41', '음료가 맛있어요': '34', '좌석이 편해요': '24', '집중하기 좋아요': '23'}"
1572,침산1동 플랜 침산점,플랜 침산점,4.57,368,189,대구 북구 침산로21길 41,08:00 - 22:00,0507-1340-2130,http://www.플랜.com,"찾아주셔서 감사합니다.

모든 커피음료에는 기본 에스프레소 2샷이 들어가며
저희가 특별히 준비한 1리터 사이즈 아이스(32온스) 핫(22온스)
하루종일 드실 수 있는 용량 ^^ 최대 사이즈로 사이즈 업 하셔서 든든하게 받아보세요~

배달주문시 모든 음료는 흘림 없이 깔끔하게 받으실 수 있도록 친환경 소재의 랩을 덮어드립니다. 

*배달어플에서도 주문가능합니다.",공사중,"{'커피가 맛있어요': '105', '가성비가 좋아요': '70', '음료가 맛있어요': '69', '친절해요': '65', '매장이 청결해요': '24'}"
1573,태전2동 베이스먼트,베이스먼트,초기값,20,7,대구 북구 태암남로 15 1층,09:00 - 21:00,070-8657-0099,https://www.instagram.com/sunkid_bmt?igshid=YmMyMTA2M2Y=,"basement(지하)+bass(악기 베이스)를 조합해 만든 BASSMENT(베이스먼트)라는 이름의 카페입니다

음악과 그림을 좋아하는 사장님 바닐라라떼 맛집입니다!!

음료뿐만 아니라 휘낭시에등 다양한 수제 디저트가 준비되어 있습니다

궁금하신거나 단체주문은 인스타그램 디엠이나 전화 주세요! sunkid_bmt",공사중,"{'디저트가 맛있어요': '12', '음료가 맛있어요': '11', '인테리어가 멋져요': '11', '친절해요': '11'}"
1574,태전2동 사이섬,사이섬커피바,4.36,24,31,대구 북구 태암남로 41 1층,"10:00 - 22:00
21:30 라스트오더",0507-1329-3279,https://www.instagram.com/saisom_coffee,藥食同源[약식동원] 저는 음식과 약은 그 근원이 같다고 생각합니다. 그래서 먹는 음식의 재료를 함부로 사용하지 않습니다. 黃金律[황금률...,공사중,"{'친절해요': '10', '커피가 맛있어요': '8', '좌석이 편해요': '5', '인테리어가 멋져요': '5', '특별한 메뉴가 있어요': '4', '디저트가 맛있어요': '3', '대화하기 좋아요': '3', '화장실이 깨끗해요': '3', '사진이 잘 나와요': '1', '매장이 청결해요': '1', '집중하기 좋아요': '1'}"
1575,구암동 달브로,달브로 칠곡점,초기값,13,3,대구 북구 태암남로9길 7 1층 달브로,11:00 - 02:00,0507-1318-6268,NO INFO,생과일 눈꽃빙수 & 크로플 맛집,공사중,"{'디저트가 맛있어요': '9', '친절해요': '9', '음료가 맛있어요': '6', '인테리어가 멋져요': '6', '매장이 청결해요': '6', '포장이 깔끔해요': '3', '커피가 맛있어요': '2', '사진이 잘 나와요': '2', '가성비가 좋아요': '2', '특별한 메뉴가 있어요': '2', '아늑해요': '1'}"
1576,태전2동 토카커피,토카커피,초기값,69,8,대구 북구 태암로 15 . 1층,"11:00 - 21:00
20:30 라스트오더",0507-1345-7038,https://www.instagram.com/talka_coffee,'talk a coffee' 커피를 이야기하다. 안녕하세요 토 카 커피 입니다. 좋은 커피를 고객들이 편하게 즐 길 수 있게 공간을 제공하는 동네 카페입...,공사중,"{'커피가 맛있어요': '46', '디저트가 맛있어요': '42', '인테리어가 멋져요': '35', '친절해요': '35', '음료가 맛있어요': '34', '매장이 청결해요': '29', '가성비가 좋아요': '15', '사진이 잘 나와요': '12', '대화하기 좋아요': '12', '집중하기 좋아요': '11', '화장실이 깨끗해요': '7', '좌석이 편해요': '6', '특별한 메뉴가 있어요': '6', '컨셉이 독특해요': '1', '음악이 좋아요': '1', '주차하기 편해요': '1'}"
1577,구암동 오아,오아,초기값,40,14,대구 북구 태암로 80-1 1층,09:00 - 20:00,0507-1446-0008,https://smartstore.naver.com/oacafe,매일 아침 직접 굽는 휘낭시에와 스콘 등 여러 디저트 들이 가득한 디저트 카페,공사중,"{'커피가 맛있어요': '19', '친절해요': '19', '디저트가 맛있어요': '18', '음료가 맛있어요': '9', '가성비가 좋아요': '9', '매장이 청결해요': '9', '인테리어가 멋져요': '5', '특별한 메뉴가 있어요': '5', '좌석이 편해요': '2', '집중하기 좋아요': '1'}"
1578,태전2동 스프링캔 대구태전점,스프링캔 대구태전점,초기값,35,15,"대구 북구 태전로 1 . 101동 106호(태전동, 태전역 더 뉴클래 스 상가)",08:00 - 24:00,053-311-8608,NO INFO,"크로플 & 도너츠가 맛있는 캔실링 카페 스프링캔 태전점입니다.
주차는 태전역 더뉴클래스 아파트에 가능합니다. 많은 이용부탁드려요.",공사중,"{'친절해요': '18', '가성비가 좋아요': '18', '매장이 청결해요': '14', '디저트가 맛있어요': '13', '커피가 맛있어요': '11', '음료가 맛있어요': '10', '특별한 메뉴가 있어요': '6', '좌석이 편해요': '4', '인테리어가 멋져요': '4', '대화하기 좋아요': '4', '주차하기 편해요': '3', '사진이 잘 나와요': '2'}"
1579,태전2동 커피플러스,커피플러스,4.2,49,10,대구 북구 태전로 40,10:00 - 24:00,010-8004-8660,#답례품,NO INFO,공사중,"{'친절해요': '11', '시설이 깔끔해요': '6', '가성비가 좋아요': '5', '품질이 좋아요': '4', '주차하기 편해요': '3', '종류가 다양해요': '3', '분위기가 편안해요': '2', '특색 있는 제품이 많아요': '1', '매장이 넓어요': '1'}"
1580,태전2동 혜민커피,혜민카페,4.9,57,초기값,대구 북구 태전로1길 13 혜민커피,NO INFO,0507-1335-7549,https://hyemincoffee.modoo.at,"1인 28.0. 업그레이드 15.0
stage1 콜드브루 &Mocktail
stage2 콜드브루 라떼 &Mocktail
stage3 필터커피
stage4 에스프레소, 라떼, 디저트",공사중,"{'친절해요': '21', '커피가 맛있어요': '16', '음료가 맛있어요': '8', '특별한 메뉴가 있어요': '7', '디저트가 맛있어요': '6'}"
1581,태전2동 더하다커피,더하다커피,초기값,294,199,"대구 북구 태전로6길 17 1층,2층",10:30 - 23:00,0507-1304-6297,https://www.instagram.com/cafe_thehada/,"- - WELCOME! - - 우선 클릭해주셔서 감사합니 다 :) 안녕하세요 , 저희는 대구 칠곡지역 태전동 에 위치하여 대구 보건대 근처의 주택개조...",공사중,"{'커피가 맛있어요': '193', '인테리어가 멋져요': '120', '음료가 맛있어요': '116', '디저트가 맛있어요': '107', '친절해요': '103', '사진이 잘 나와요': '80', '매장이 청결해요': '75', '대화하기 좋아요': '69', '특별한 메뉴가 있어요': '45', '가성비가 좋아요': '44', '집중하기 좋아요': '44', '뷰가 좋아요': '28', '좌석이 편해요': '23', '화장실이 깨끗해요': '23'}"
1582,태전1동 체리픽,체리픽,초기값,73,44,대구 북구 태전로7길 18 1층,NO INFO,053-216-3007,NO INFO,안녕하세요 카페 체리픽입니다! CHERRY-PICK( 체리픽)은 최고를 선별하다 라는 뜻으로 고객님 들에게 최고의 것만 제공하겠다라는 마음...,공사중,"{'디저트가 맛있어요': '53', '커피가 맛있어요': '46', '음료가 맛있어요': '40', '친절해요': '40', '인테리어가 멋져요': '31', '특별한 메뉴가 있어요': '22', '매장이 청결해요': '18', '사진이 잘 나와요': '14', '좌석이 편해요': '9', '가성비가 좋아요': '9', '대화하기 좋아요': '7', '주차하기 편해요': '4', '집중하기 좋아요': '4', '뷰가 좋아요': '2', '반려동물과 가기 좋아요': '1'}"
1583,태전2동 더드림커피 대구태전2호점,더드림커피 대구태전2호점,초기값,64,7,대구 북구 태전로7길 3 1층,10:00 - 22:00,053-721-7969,http://www.thedreamcoffee.co.kr,"태전삼거리에서 보건대학방향 좌측도로변 파리바게트 태전점 골목안 30미터에 위치한 테이크아웃커피전문점 더드림커피입니다.
더드림커피전문점에서는 고품격의 최고급원두를 제공하고 있으며, 더드림커피전문점의 빙수는 한번만 먹어본 사람이 없을 정도로 재주문율과 가성비1등을 늘 유지하고 있습니다. 배달의민족, 요기요, 쿠팡잇츠, 대구로를 통해서 집까지 안전하게 배달해 드리고 있으며, 배달시 엎질러지지 않도록 안전하고 꼼꼼하게 포장해서 보내드린답니다. 우리동네 1등 커피맛집 많은 사랑과 격려 부탁드립니다.
대표메뉴 : 1리터보틀커피, 생딸기빙수, 인절미빙수, 밀크팥빙수, 녹차빙수, 망고빙수, 딸기라떼, 딸기밀크쉐이크, 망고밀크쉐이크, 춘천명물감자빵, 블랙제리치즈케이크, 제리치즈케이크, 산딸기무스케이크, 더드림크로플, 벌꿀케이크",공사중,"{'커피가 맛있어요': '35', '친절해요': '20', '가성비가 좋아요': '19', '음료가 맛있어요': '18'}"
1584,칠성동 폴바셋 롯데백화점대구점,폴바셋 롯데백화점 대구점,4.6,2533,56,대구 북구 태평로 161 B2층,NO INFO,053-660-2085,http://www.baristapaulbassett.co.kr/,폴바셋 롯데백화점 대구점,공사중,"{'커피가 맛있어요': '817', '음료가 맛있어요': '417', '친절해요': '371', '디저트가 맛있어요': '282', '매장이 청결해요': '160', '특별한 메뉴가 있어요': '144', '주차하기 편해요': '126', '대화하기 좋아요': '64', '좌석이 편해요': '62', '가성비가 좋아요': '45', '화장실이 깨끗해요': '37', '인테리어가 멋져요': '26', '사진이 잘 나와요': '17', '뷰가 좋아요': '14', '집중하기 좋아요': '13', '음식이 빨리 나와요': '1'}"
1585,칠성동 제주 제이제이씨 커피 롯데대구점,제주제이제이씨커피 롯데대구점,초기값,129,3,대구 북구 태평로 161 롯데백화점 대구점 지하2층,NO INFO,0507-1333-5839,NO INFO,"대구에 최초로 오픈하는 제주커피입니다
맛있는 커피, 음료, 각종 디저트를 합리적인 가격으로 만나보세요
* 아메리카노 2,000원~",공사중,"{'커피가 맛있어요': '77', '친절해요': '42', '음료가 맛있어요': '35', '가성비가 좋아요': '32'}"
1586,동천동 티타임커피 동천점,티타임커피 아이스크림스토리 동천점,초기값,69,3,대구 북구 팔거천동로 104 205동 104호,00:00 - 24:00,010-2445-3699,https://blog.naver.com/teatime2021,"티타임 커피 동천점(아이스크림 스토리)은 커피 와 음료, 과자와 아이스크림을 판매하는 무인 시 스템으로 운영되는 카페입니다. 연중무휴 ...",공사중,"{'매장이 청결해요': '38', '가성비가 좋아요': '23', '커피가 맛있어요': '19', '음료가 맛있어요': '16', '친절해요': '13', '디저트가 맛있어요': '10', '인테리어가 멋져요': '8', '대화하기 좋아요': '8', '좌석이 편해요': '5', '사진이 잘 나와요': '4', '집중하기 좋아요': '4', '화장실이 깨끗해요': '2'}"
1587,동천동 읍천리382 대구칠곡점,읍천리382 칠곡점,4.49,543,130,대구 북구 팔거천동로 142-1,10:00 - 22:00,053-314-6666,https://eupcheonri382.co.kr/,"' 도심 속 레트로 감성 카페 '
' 할머니가 손자, 손녀를 생각하며 푸짐한 한 상을 차려 주시던 그 마음으로 준비한 카페 입니다.

- 신선한 재료들로 푸짐하게 만든 읍천리 디저트
- 보관은 2-3일 (냉장) 가능하나, 가장 신선할 때 드시는 게 좋습니다.

모든 음료는 HOT / ICE 캔에 밀봉되어 배송 되며, 직장이나 가정에서 언제 어디서든 편하게 드실 수 있도록 제공되는 읍천리382 동천점!!",공사중,"{'커피가 맛있어요': '125', '디저트가 맛있어요': '101', '음료가 맛있어요': '94', '친절해요': '57', '인테리어가 멋져요': '50', '가성비가 좋아요': '40', '특별한 메뉴가 있어요': '35', '매장이 청결해요': '31', '사진이 잘 나와요': '20', '대화하기 좋아요': '16', '뷰가 좋아요': '9', '좌석이 편해요': '8', '화장실이 깨끗해요': '4', '주차하기 편해요': '3', '집중하기 좋아요': '3'}"
1588,관음동 몬스터커피 팔거역점,몬스터커피 팔거역점,4.45,652,21,대구 북구 팔거천동로 217,08:00 - 21:30,053-313-3683,NO INFO,NO INFO,공사중,"{'커피가 맛있어요': '203', '음료가 맛있어요': '138', '가성비가 좋아요': '116', '친절해요': '72', '매장이 청결해요': '52'}"
