,사업장명,카페이름,별점,방문자리뷰수,블로그리뷰수,주소,영업시간,전화번호,연결사이트,설명,메뉴,키워드
0,효목2동 비아토르,비아토르,5,23,초기값,대구 수성구 동원로28길 63,11:30 - 18:30,010-8424-3551,https://www.instagram.com/viator_daegu,"낯선 여행지에서 마셨던 맛난 커피 한 잔은 오래도록 그날의 시공간을 추억하게 합니다.
VIATOR(비아토르)는 ‘나그네’를 뜻합니다. VIATOR의 출발은 주인장의 작은 소망에서 비롯되었습니다.
인간으로 태어나 지구별 여행 중인 나그네들과 함께 때론 커피로, 때론 음악으로, 때론 서로가 주고받는 마음과 따뜻한 눈빛을 나눌 수 있는 특별한 시공간을 꿈꾸며 오랜 시간 준비한 작은 공간입니다. 
다소 미흡하고 부족함이 있을 수 있으나 정성과 온 마음 다해 또 다른 VIATOR(나그네)와의 만남을 준비하겠습니다.
The ones that love us never really leave us. And you can always find, in @viator_daegu",공사중,"{'커피가 맛있어요': '13', '친절해요': '10', '인테리어가 멋져요': '7', '디저트가 맛있어요': '6', '가성비가 좋아요': '6', '음료가 맛있어요': '5', '특별한 메뉴가 있어요': '5', '집중하기 좋아요': '5', '화장실이 깨끗해요': '4', '매장이 청결해요': '3', '주차하기 편해요': '1', '대화하기 좋아요': '1'}"
1,성내3동 더리터 대구서문시장점,더리터 서문시장점,4.61,107,초기값,대구 중구 국채보상로 486 1층 더리터 서문시장점,NO INFO,0507-1345-9499,http://www.theliter.com,"더리터 서문시장점 테이크아웃 전문 카페입니다

가게 앞 버스정류장 뒷 구역 10분간 주차가능합니다

*첫번째,세번째 일요일 휴무입니다",공사중,"{'커피가 맛있어요': '42', '가성비가 좋아요': '32', '친절해요': '21', '음료가 맛있어요': '19', '디저트가 맛있어요': '13', '특별한 메뉴가 있어요': '7', '음식이 빨리 나와요': '4', '사진이 잘 나와요': '4', '매장이 청결해요': '4', '집중하기 좋아요': '4', '인테리어가 멋져요': '3', '주차하기 편해요': '3', '대화하기 좋아요': '3', '뷰가 좋아요': '3', '포장이 깔끔해요': '2', '화장실이 깨끗해요': '2', '좌석이 편해요': '1', '양이 많아요': '1'}"
2,효목2동 폴바셋 대구신세계백화점2호점,폴바셋 신세계백화점 대구 2호점(별관 6F),4.57,3886,87,대구 동구 동부로 149,NO INFO,053-661-1760,http://www.baristapaulbassett.co.kr/,NO INFO,공사중,"{'커피가 맛있어요': '1123', '음료가 맛있어요': '577', '디저트가 맛있어요': '461', '친절해요': '398', '특별한 메뉴가 있어요': '207', '매장이 청결해요': '198', '주차하기 편해요': '160', '대화하기 좋아요': '146', '좌석이 편해요': '99', '인테리어가 멋져요': '82', '화장실이 깨끗해요': '54', '가성비가 좋아요': '40', '집중하기 좋아요': '33', '사진이 잘 나와요': '27', '뷰가 좋아요': '17', '음식이 빨리 나와요': '1'}"
3,신암3동 마시그레이 동대구역점,MASIGRAY 동대구역점,4.45,227,초기값,대구 동구 동대구로 530,NO INFO,NO INFO,NO INFO,NO INFO,공사중,"{'커피가 맛있어요': '44', '가성비가 좋아요': '40', '음료가 맛있어요': '28', '친절해요': '20', '매장이 청결해요': '5', '특별한 메뉴가 있어요': '3', '디저트가 맛있어요': '2', '인테리어가 멋져요': '2', '주차하기 편해요': '2', '사진이 잘 나와요': '2', '대화하기 좋아요': '1', '뷰가 좋아요': '1'}"
4,신암5동 카페모퉁이,카페모퉁이,초기값,6,4,대구 동구 해동로 66,NO INFO,NO INFO,NO INFO,NO INFO,공사중,리뷰 수 부족
5,남산1동 피카소,피카소,4.44,18,초기값,대구 중구 달구벌대로 2095 삼성생명,NO INFO,NO INFO,NO INFO,NO INFO,공사중,리뷰 수 부족
6,신암3동 백양전통차,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값
7,신천2동 시월보름,시월보름,초기값,49,9,대구 동구 동부로 29 101동 1층 106호,09:00 - 18:00,010-8330-3992,NO INFO,전화로 선주문 가능합니다 :),공사중,"{'커피가 맛있어요': '21', '친절해요': '16', '음료가 맛있어요': '12', '매장이 청결해요': '10', '대화하기 좋아요': '8', '디저트가 맛있어요': '6', '가성비가 좋아요': '5'}"
8,남산2동 캠프바이 커피명가,커피명가 캠프바이커피명가,4.51,639,128,대구 중구 서성로 20 매일신문사 사옥 1층,08:00 - 21:00,053-422-0892,http://www.myungga.com,"중요한 결정을 하는 작전 캠프처럼 또는 편안한 휴식이 있는
캠핑장의 캠프처럼
공간이 활용되기를 희망하며 만들어졌습니다.

갤러리와 함께 하는 넓은 공간과 계산 성당 방향으로 밝게 트인 전망
따뜻한 볕이 가득 드는 창 너머로 들리는 성당의 종소리가 마음을 편하게 하는 공간입니다.

평온한 시간을 준비하겠습니다.",공사중,"{'커피가 맛있어요': '225', '디저트가 맛있어요': '97', '매장이 청결해요': '88', '대화하기 좋아요': '84', '음료가 맛있어요': '81', '친절해요': '79', '뷰가 좋아요': '58', '좌석이 편해요': '53', '인테리어가 멋져요': '50', '주차하기 편해요': '45', '특별한 메뉴가 있어요': '29', '사진이 잘 나와요': '23', '화장실이 깨끗해요': '20', '가성비가 좋아요': '15', '집중하기 좋아요': '15', '음식이 빨리 나와요': '1', '매장이 넓어요': '1', '오래 머무르기 좋아요': '1'}"
9,신암3동 베이크화목,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값
10,신암1동 크크.라니커피,크크.라니커피(KK.Rani coffe),초기값,26,1,대구 동구 아양로 7 (신암동),NO INFO,NO INFO,NO INFO,NO INFO,공사중,"{'커피가 맛있어요': '9', '디저트가 맛있어요': '5', '친절해요': '5', '가성비가 좋아요': '5', '주차하기 편해요': '3', '음료가 맛있어요': '2', '뷰가 좋아요': '2', '인테리어가 멋져요': '1'}"
11,효목2동 연화,검색결과 없음,,,,,,,,,,
12,지저동 정다운커피숍,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값
