,사업장명,카페이름,별점,방문자리뷰수,블로그리뷰수,주소,영업시간,전화번호,연결사이트,설명,메뉴,키워드
1253,구암동 갤러리커피,갤러리커피,4.27,117,초기값,대구 북구 구암로 207,12:00 - 23:00,053-325-2003,NO INFO,NO INFO,공사중,"{'커피가 맛있어요': '34', '친절해요': '17', '음료가 맛있어요': '15', '인테리어가 멋져요': '12', '대화하기 좋아요': '11'}"
1254,구암동 카페포인트,카페포인트,4.24,273,10,대구 북구 구암로 264-1 1층,10:00 - 22:30,010-9384-0119,NO INFO,NO INFO,공사중,"{'커피가 맛있어요': '102', '친절해요': '49', '음료가 맛있어요': '48', '대화하기 좋아요': '36', '매장이 청결해요': '30', '디저트가 맛있어요': '26', '좌석이 편해요': '19', '가성비가 좋아요': '14', '인테리어가 멋져요': '9', '주차하기 편해요': '6', '사진이 잘 나와요': '6', '특별한 메뉴가 있어요': '5', '집중하기 좋아요': '5', '화장실이 깨끗해요': '3'}"
1255,읍내동 더착한커피 칠곡점,더착한커피 칠곡점,초기값,78,4,대구 북구 구암로15길 10 102호,09:00 - 19:00,0507-1302-2041,NO INFO,NO INFO,공사중,"{'커피가 맛있어요': '22', '가성비가 좋아요': '21', '음료가 맛있어요': '17', '매장이 청결해요': '17', '친절해요': '15', '특별한 메뉴가 있어요': '9', '대화하기 좋아요': '6', '디저트가 맛있어요': '5', '좌석이 편해요': '3', '인테리어가 멋져요': '3', '주차하기 편해요': '2', '집중하기 좋아요': '2'}"
1256,읍내동 카페인헤븐,카페인헤븐,4.51,184,초기값,대구 북구 구암로15길 14,10:00 - 22:00,053-322-4561,NO INFO,NO INFO,공사중,"{'커피가 맛있어요': '58', '친절해요': '27', '주차하기 편해요': '25', '가성비가 좋아요': '24', '매장이 청결해요': '21', '대화하기 좋아요': '21', '음료가 맛있어요': '20', '디저트가 맛있어요': '15', '인테리어가 멋져요': '14', '화장실이 깨끗해요': '13', '좌석이 편해요': '9', '집중하기 좋아요': '5', '사진이 잘 나와요': '3', '뷰가 좋아요': '3', '특별한 메뉴가 있어요': '1'}"
1257,읍내동 커피숲,커피숲,4.25,194,초기값,대구 북구 구암로15길 28,NO INFO,053-320-2146,NO INFO,NO INFO,공사중,"{'커피가 맛있어요': '53', '친절해요': '36', '가성비가 좋아요': '24', '음료가 맛있어요': '19', '디저트가 맛있어요': '13', '주차하기 편해요': '8', '뷰가 좋아요': '7', '매장이 청결해요': '6', '대화하기 좋아요': '5', '특별한 메뉴가 있어요': '2', '집중하기 좋아요': '2', '화장실이 깨끗해요': '2', '좌석이 편해요': '1', '인테리어가 멋져요': '1', '사진이 잘 나와요': '1'}"
1258,태전2동 김군커피,김군커피,4.51,79,초기값,대구 북구 구암로16길 12-1,11:00 - 22:00,0507-1318-9801,NO INFO,NO INFO,공사중,"{'커피가 맛있어요': '21', '음료가 맛있어요': '12', '대화하기 좋아요': '9', '친절해요': '8', '가성비가 좋아요': '5', '매장이 청결해요': '5', '특별한 메뉴가 있어요': '3', '디저트가 맛있어요': '2', '인테리어가 멋져요': '2', '집중하기 좋아요': '1'}"
1259,태전2동 카페티그레,카페티그레,초기값,60,1,대구 북구 구암로22길 14 에덴 아파트 상가1층,NO INFO,053-215-9078,https://www.instagram.com/cafe.tigre,카페티그레는 바리스타가 엄선한 프리미엄 원두를 사용합니다. 디저트는 매장에서 한정된 수량을 매일 직접 만들어 판매합니다.,공사중,"{'커피가 맛있어요': '41', '디저트가 맛있어요': '29', '친절해요': '20', '음료가 맛있어요': '17'}"
1260,구암동 포인트커피(POINTCOFFEE),포인트커피,4.54,127,초기값,대구 북구 구암로32길 15 건영아파트상가105호,NO INFO,053-313-1212,NO INFO,구암공원근처 아담한 카페입니다 가격 착하고 맛은 굿 가성비 너무 좋아요^^,공사중,"{'커피가 맛있어요': '38', '친절해요': '31', '음료가 맛있어요': '30', '가성비가 좋아요': '20', '매장이 청결해요': '17'}"
1261,구암동 아니스커피,아니스커피,4.4,131,초기값,대구 북구 구암로50길 3,NO INFO,0507-1367-9407,NO INFO,안녕하세요 북구 구암동에 위치한 아니스 커피입니다.(스페셜원두취급점),공사중,"{'커피가 맛있어요': '45', '음료가 맛있어요': '19', '가성비가 좋아요': '15', '좌석이 편해요': '12', '대화하기 좋아요': '11', '친절해요': '10', '디저트가 맛있어요': '8', '특별한 메뉴가 있어요': '6', '매장이 청결해요': '6', '인테리어가 멋져요': '2', '뷰가 좋아요': '2', '주차하기 편해요': '1', '사진이 잘 나와요': '1', '집중하기 좋아요': '1', '화장실이 깨끗해요': '1'}"
1262,구암동 플라낭,플라낭,4.8,86,187,대구 북구 구암로60길 39 1층 planant,NO INFO,0507-1481-0095,http://planant.co.kr/,"안녕하세요 대구 북구 구암동에 위치한 플라워카페 플라낭입니다.

꽃다발은 미리 예약 주시면 주말 평일 언제나 픽업 가능합니다 : )

카페는 평일 12시~7시 30분 영업하고 있습니다**

주차는 근처 '아무나 차 마당' 혹은 매장 옆/뒷쪽에 가능합니다!",공사중,"{'친절해요': '22', '인테리어가 멋져요': '19', '꽃 조합이 예뻐요': '18', '매장이 청결해요': '17', '커피가 맛있어요': '14', '사진이 잘 나와요': '13', '감각적이에요': '11', '음료가 맛있어요': '9', '가성비가 좋아요': '8', '가격이 합리적이에요': '7', '디저트가 맛있어요': '6', '싱싱해요': '6', '포장이 정성스러워요': '6', '대화하기 좋아요': '6', '집중하기 좋아요': '3', '화장실이 깨끗해요': '3', '주차하기 편해요': '1'}"
1263,구암동 피콜로라비타,피콜로라비타,4.4,69,초기값,대구 북구 구암로60길 41-16 1층,10:00 - 22:00,0507-1426-0425,http://instagram.com/piccololavita_chilgok/,NO INFO,공사중,"{'커피가 맛있어요': '25', '대화하기 좋아요': '14', '디저트가 맛있어요': '13', '친절해요': '13', '음료가 맛있어요': '11', '인테리어가 멋져요': '11', '화장실이 깨끗해요': '11', '가성비가 좋아요': '6', '좌석이 편해요': '5', '특별한 메뉴가 있어요': '3', '매장이 청결해요': '3', '집중하기 좋아요': '3', '뷰가 좋아요': '3', '사진이 잘 나와요': '1'}"
1264,구암동 위트커피 구암점,위트커피 구암점,4.51,203,초기값,대구 북구 구암로65길 10,09:00 - 22:00,053-322-0919,NO INFO,NO INFO,공사중,"{'커피가 맛있어요': '45', '음료가 맛있어요': '40', '친절해요': '32', '가성비가 좋아요': '24', '매장이 청결해요': '22', '디저트가 맛있어요': '13', '대화하기 좋아요': '12', '특별한 메뉴가 있어요': '6', '좌석이 편해요': '3', '집중하기 좋아요': '3', '인테리어가 멋져요': '2', '주차하기 편해요': '2', '화장실이 깨끗해요': '2', '사진이 잘 나와요': '1'}"
1265,구암동 드롭탑 대구3지구점,드롭탑 대구3지구점,4.6,106,초기값,대구 북구 구암로65길 50-11 (구암동),NO INFO,053-313-2912,http://www.cafedroptop.com/,NO INFO,공사중,"{'커피가 맛있어요': '51', '음료가 맛있어요': '22', '친절해요': '22', '대화하기 좋아요': '19', '디저트가 맛있어요': '15'}"
1266,관문동 커피홀 대구사수점,커피홀 대구 사수점,4.49,130,14,"대구 북구 내곡로 30-1 1층 101호(사수동, 골든프라자)",NO INFO,053-219-8883,NO INFO,사수동 카페 커피 디저트 전문점입니다.,공사중,"{'커피가 맛있어요': '47', '친절해요': '23', '디저트가 맛있어요': '22', '음료가 맛있어요': '20', '좌석이 편해요': '17'}"
1267,관문동 카페이로,카페이로,초기값,76,1,대구 북구 내곡로 71 동아프라자1층 102호 카페이로,NO INFO,053-710-2738,NO INFO,신선한원두와 맛있는 디저트가 준비되어있는카페이로입니다^^많이 찿아주세요^^,공사중,"{'친절해요': '49', '커피가 맛있어요': '47', '디저트가 맛있어요': '43', '음료가 맛있어요': '40', '매장이 청결해요': '33', '가성비가 좋아요': '31', '특별한 메뉴가 있어요': '27', '사진이 잘 나와요': '10', '인테리어가 멋져요': '8', '대화하기 좋아요': '7', '좌석이 편해요': '5', '뷰가 좋아요': '3'}"
1268,관문동 카페일상,카페일상,4.61,140,14,대구 북구 내곡로 73,NO INFO,053-313-2565,http://instagram.com/cafe_ilsang,"맛있는 커피를 올바르게 제공하는 것이 매일의 목표이며, 모든 디저트는 재료계량부터 오븐에 굽기까지 모두 직접 하고 있으며 좋은 재료를 이용해 최고의 맛을 내기위해 항상 노력하고 있습니다:)",공사중,"{'커피가 맛있어요': '85', '친절해요': '73', '디저트가 맛있어요': '64', '음료가 맛있어요': '46', '매장이 청결해요': '31', '대화하기 좋아요': '13', '특별한 메뉴가 있어요': '12', '가성비가 좋아요': '10', '좌석이 편해요': '9', '인테리어가 멋져요': '8', '집중하기 좋아요': '4', '화장실이 깨끗해요': '1', '뷰가 좋아요': '1'}"
1269,관문동 나우커피 금호지구점,나우커피 금호지구점,초기값,43,3,대구 북구 내곡로 75,00:00 - 24:00,0507-1436-3427,NO INFO,안녕하세요? 나우커피 금호지구점입니다. 나우커피 카페는 사랑방처럼 언제나 편안하게 이용 할 수 있는 그런 공간이 되었으면 합니다.,공사중,"{'가성비가 좋아요': '14', '커피가 맛있어요': '11', '음료가 맛있어요': '9', '매장이 청결해요': '8', '친절해요': '6', '인테리어가 멋져요': '3', '집중하기 좋아요': '3', '대화하기 좋아요': '3', '좌석이 편해요': '1', '디저트가 맛있어요': '1'}"
1270,관문동 과일창고앤디저트커피,과일창고앤디저트커피,초기값,170,5,대구 북구 내곡로 75-1,08:30 - 20:00,053-326-1005,NO INFO,NO INFO,공사중,"{'디저트가 맛있어요': '76', '친절해요': '67', '음료가 맛있어요': '50', '커피가 맛있어요': '42', '특별한 메뉴가 있어요': '41', '가성비가 좋아요': '31', '매장이 청결해요': '30', '인테리어가 멋져요': '4', '좌석이 편해요': '2', '사진이 잘 나와요': '2', '집중하기 좋아요': '1'}"
1271,관문동 커피쿡 대구사수점,커피쿡 사수점,4.48,145,11,대구 북구 내곡로 81 부광빌딩 107호,09:00 - 22:00,053-287-2525,NO INFO,대구 사수동 대표 커피.디저트맛집 커피쿡입니다,공사중,"{'커피가 맛있어요': '61', '음료가 맛있어요': '30', '디저트가 맛있어요': '25', '친절해요': '25', '가성비가 좋아요': '23', '특별한 메뉴가 있어요': '12', '매장이 청결해요': '11', '대화하기 좋아요': '2', '사진이 잘 나와요': '1'}"
1272,관문동 더리터 대구사수점,더리터 대구사수점,초기값,266,4,대구 북구 내곡로 90 1동 상가3호,08:00 - 20:00,010-2922-1774,NO INFO,NO INFO,공사중,"{'커피가 맛있어요': '80', '가성비가 좋아요': '60', '음료가 맛있어요': '39', '친절해요': '33', '매장이 청결해요': '13', '디저트가 맛있어요': '10', '좌석이 편해요': '7', '인테리어가 멋져요': '6', '대화하기 좋아요': '6', '주차하기 편해요': '3', '사진이 잘 나와요': '2', '집중하기 좋아요': '2', '특별한 메뉴가 있어요': '1', '화장실이 깨끗해요': '1'}"
1273,산격4동 카페지뉴,카페지뉴,4.77,43,초기값,대구 북구 대구체육관로 42-1,NO INFO,053-9300-2132,NO INFO,NO INFO,공사중,"{'커피가 맛있어요': '13', '친절해요': '5', '대화하기 좋아요': '5', '좌석이 편해요': '4', '가성비가 좋아요': '4', '매장이 청결해요': '3', '화장실이 깨끗해요': '3', '디저트가 맛있어요': '2', '음료가 맛있어요': '2', '인테리어가 멋져요': '2', '특별한 메뉴가 있어요': '2', '뷰가 좋아요': '2', '주차하기 편해요': '1'}"
1274,산격1동 제스처커피,제스처커피,4.87,97,36,대구 북구 대구체육관로 50 1층,09:00 - 19:00,0507-1344-7681,https://blog.naver.com/526audrey,"ABOUT COFFEE
제스처 커피의 원두는 다크 초콜렛과 견과류 향이 나는 산미가 적으며, 고소하고 다크한 맛이 특징입니다.
커피 메뉴 중에서도, 가장 기본이 되는 아메리카노와 라떼의 맛을 최고로 만들기 위해서 끊임 없이 연구 중에 있습니다.
합리적인 가격에, 품격있는 메뉴를 선사드리겠습니다.
감사합니다.

ABOUT DESSERT
제스처 커피의 디저트는 모든 과정이 수제로 이루어지며, 당일 좋은 풍미를 느끼며 드실 수 있도록 한정수량 당일판매를 하고 있습니다. (하루 지나야 더 맛있는 메뉴들 제외)
당일 구워 나온 풍미 좋은 디저트를 즐겨보세요.",공사중,"{'커피가 맛있어요': '51', '친절해요': '30', '디저트가 맛있어요': '27', '음료가 맛있어요': '24', '가성비가 좋아요': '22'}"
1275,산격4동 소리카페,소리카페,4.86,126,초기값,대구 북구 대구체육관로 53,NO INFO,053-939-7776,NO INFO,NO INFO,공사중,"{'친절해요': '15', '커피가 맛있어요': '8', '음료가 맛있어요': '7', '매장이 청결해요': '7', '대화하기 좋아요': '6'}"
