,사업장명,카페이름,,,,,,,,
430,감삼동 루츠루츠,루츠루츠 대구 감삼점,,,,,,,,
431,감삼동 이디야커피 대구죽전역점,이디야커피 대구죽전역점,,,,,,,,
432,감삼동 이삐커피 죽전역점,이삐커피 대구죽전역점,,,,,,,,
433,죽전동 동향커피,두두커피,,,,,,,,
434,죽전동 카페체크,카페 check,,,,,,,,
435,본리동 그릿 죽전점,그릿 죽전점,,,,,,,,
436,본리동 제이스베이커리,제이스베이커리,,,,,,,,
437,본리동 르아쇼,르아쇼,,,,,,,,
438,감삼동 캔버스 죽전점,캔버스 죽전점,,,,,,,,
439,본리동 반할커피,반할커피,,,,,,,,
440,본리동 단단호박,단단호박,,,,,,,,
441,용산1동 모네,DESSERT CAFE MONE,,,,,,,,
442,용산1동 뚜바비앙 오브점,뚜바비앙 오브점,,,,,,,,
443,죽전동 죽전그카페,죽전 그 카페,,,,,,,,
444,용산1동 에그모니나(EGGMONINA),모니나,,,,,,,,
445,용산2동 달콩카페,달콩카페,,,,,,,,
446,용산2동 디저트덤덤,디저트덤덤,,,,,,,,
447,용산1동 화스플라워앤티,화스플라워앤티,,,,,,,,
448,용산1동 샌드선샤인 죽전점,샌드선샤인 죽전점,,,,,,,,
449,죽전동 오놀,오놀,,,,,,,,
450,용산1동 생각나는커피,생각나는커피,,,,,,,,
451,용산2동 훈카롱,훈카롱,,,,,,,,
452,용산2동 하삼동커피 대구용산점,하삼동커피 대구용산점,,,,,,,,
453,본리동 해성,해성,,,,,,,,
454,용산2동 파스쿠찌 대구용산점,파스쿠찌 대구용산점,,,,,,,,
455,용산1동 카페캔버스 상리공원점,카페캔버스 상리공원점,,,,,,,,
456,장기동 카페따숲,카페따숲,,,,,,,,
457,장기동 단내음,단내음,,,,,,,,
458,용산1동 멜로우,멜로우스킨,,,,,,,,
459,장기동 두번째산책,두번째 산책,,,,,,,,
460,장기동 경이로운커피 대구점,경이로운 커피(대구점),,,,,,,,
461,용산2동 비하겐커피,카페 비하겐,,,,,,,,
462,용산2동 더벤티 대구용산점,더벤티 대구용산점,,,,,,,,
463,용산2동 다빈치커피 용산꿈의대화점,다빈치커피 용산꿈의대화점,,,,,,,,
464,감삼동 블레스유,블레스유 용산점,,,,,,,,
465,용산2동 달콤블리,달콤블리,,,,,,,,
466,용산2동 빽다방 대구용산점,빽다방 대구용산점,,,,,,,,
467,용산1동 카페캔버스 용산점,캔버스 용산점,,,,,,,,
468,상인3동 달콤한오후,달콤한 오후,,,,,,,,
469,상인3동 에브리커피 도원점,에브리커피 대구도원점,,,,,,,,
470,상인2동 레드하우스,레드하우스,,,,,,,,
471,상인3동 투썸플레이스 대구월광수변공원점,투썸플레이스 대구월광수변공원점,,,,,,,,
472,상인3동 리리카페,리리카페,,,,,,,,
473,상인1동 카페봄봄 월곡점,카페봄봄 월곡점,,,,,,,,
474,상인3동 투썸플레이스 대구월곡로점,투썸플레이스 대구월곡로점,,,,,,,,
475,상인2동 비치클럽커피 상인역점,비치클럽커피 상인역점,,,,,,,,
476,상인2동 마실커피 상인점,마실커피 상인점,,,,,,,,
477,상인1동 키토생활,키토생활,,,,,,,,
478,상인1동 벌크커피 상인점,벌크커피 상인점,,,,,,,,
479,상인1동 테라,테라,,,,,,,,
480,상인2동 망원동티라미수 상인점,망원동티라미수 대구상인점,,,,,,,,
481,상인1동 차얌 대구상인역점,차얌 상인역점,,,,,,,,
482,상인1동 카페봄봄 월서점,카페봄봄 대구월서점,,,,,,,,
483,상인2동 무온,무온,,,,,,,,
484,상인2동 더 램브,더 램브,,,,,,,,
485,상인2동 작은별,작은별더치커피전문점,,,,,,,,
486,상인2동 8시20분,8시20분,,,,,,,,
487,상인2동 딥우드,딥우드 에스프레소,,,,,,,,
488,상인2동 설렘 상인점,설렘카페 상인점,,,,,,,,
489,상인3동 카페온나,카페온나,,,,,,,,
490,상인2동 가유,카페 가유,,,,,,,,
491,상인2동 에프닷커피,에프닷커피,,,,,,,,
492,상인2동 컴피커피앤디저트,컴피커피앤디저트,,,,,,,,
493,진천동 구공카페,구공카페,,,,,,,,
494,유천동 아로마,아로마,,,,,,,,
495,진천동 카페루멘,카페루멘,,,,,,,,
496,상인2동 탑클래스커피 상인점,탑클래스커피 상인점,,,,,,,,
497,진천동 감성커피 월배점,감성커피 월배점,,,,,,,,
498,상인2동 댕쓰커피,댕쓰커피,,,,,,,,
499,상인2동 슈드해브커피,슈드해브커피,,,,,,,,
500,상인1동 몬스터커피 상인점,몬스터커피 상인점,,,,,,,,
501,상인2동 카페봄봄 월배점,카페봄봄 월배점,,,,,,,,
502,상인2동 하삼동커피 상인역3번출구점,하삼동커피 상인역3번출구점,,,,,,,,
503,상인1동 공차 롯데상인점,공차 롯데백화점 상인점,,,,,,,,
504,송현2동 마시그래이 월촌역점,마시그래이 월촌역점,,,,,,,,
505,유천동 카페 힘(cafe hymn),카페 힘,,,,,,,,
506,송현1동 서로커피,서로커피 송현점,,,,,,,,
507,송현2동 포레스트플로어,포레스트 플로어,,,,,,,,
508,송현1동 이디야커피 대구송현점,이디야커피 대구송현점,,,,,,,,
509,송현1동 카페다올,카페다올,,,,,,,,
510,송현1동 모네꽃을그리다,"모네, 꽃을 그리다",,,,,,,,
511,대명11동 더리터 송현점,더리터 송현점,,,,,,,,
512,대명11동 설빙 대구서부점,설빙 대구서부점,,,,,,,,
513,대명11동 카페051 대구서부정류장점,카페051 대구서부정류장점,,,,,,,,
514,유천동 투썸플레이스 대구진천아이팜메디타워점,투썸플레이스 진천아이팜메디타워점,,,,,,,,
515,진천동 더벤티 대구진천역점,더벤티 대구진천역점,,,,,,,,
516,진천동 매머드익스프레스 대구진천역점,매머드익스프레스 대구진천역점,,,,,,,,
517,진천동 천씨씨커피 대구진천역점,천씨씨커피 진천역점,,,,,,,,
518,진천동 하삼동커피 대구 진천역점,하삼동커피 진천역점,,,,,,,,
519,진천동 와플칸 대구진천점,와플칸 진천점,,,,,,,,
520,진천동 헬리빈커피 진천역점,헬리빈커피 진천역점,,,,,,,,
521,유천동 카페보스,카페보스 진천역점,,,,,,,,
522,진천동 만랩커피 대구진천역점,만랩커피 진천역점,,,,,,,,
523,진천동 카페봄봄 진천점,카페봄봄진천점,,,,,,,,
524,진천동 빽다방 대구진천역점,빽다방 대구진천역점,,,,,,,,
525,진천동 커피쿡 대구진천점,커피쿡 대구진천점,,,,,,,,
526,유천동 카페051 대구월배점,카페051 대구월배점,,,,,,,,
527,유천동 더바나,더바나,,,,,,,,
528,진천동 하어스 코지 HAUS COZY,하어스코지,,,,,,,,
529,월성1동 알파커피,알파커피,,,,,,,,
530,진천동 카페묘묘,카페 묘묘,,,,,,,,
531,상인2동 쏭쏭계란빵,쏭쏭계란빵 상인점,,,,,,,,
532,월성1동 컴포즈커피 대구월성중앙점,컴포즈커피 대구월성중앙점,,,,,,,,
533,상인2동 카페꽃이피다 상인점,카페 꽃이피다 상인점,,,,,,,,
534,상인1동 식스에비뉴,6th Avenue,,,,,,,,
535,상인1동 더벤티 대구상인2호점,더벤티 대구상인2호점,,,,,,,,
536,상인2동 봉명동내커피 대구상인점,봉명동내커피 상인점,,,,,,,,
537,상인3동 꼬미당,꼬미당,,,,,,,,
538,상인2동 스마일커피팩토리,스마일커피팩토리,,,,,,,,
539,상인2동 레프트뱅크 상인네거리점,레프트뱅크상인네거리점,,,,,,,,
540,상인2동 리틀멜번,리틀멜번,,,,,,,,
541,상인2동 어뉴,카페어뉴,,,,,,,,
542,상인3동 시기,시기,,,,,,,,
543,상인2동 카페19일,19일,,,,,,,,
544,유천동 몬스터커피 유천점,몬스터커피 유천점,,,,,,,,
545,송현1동 리뎀,리뎀,,,,,,,,
546,송현1동 버터문,버터문,,,,,,,,
547,송현2동 킹밥,킹밥,,,,,,,,
548,송현1동 문스,문스카페,,,,,,,,
549,송현1동 송현다방,송현다방,,,,,,,,
550,상인1동 플랜 상인점,플랜 상인점,,,,,,,,
551,상인1동 청솔로9 상인점,청솔로9 상인점,,,,,,,,
552,월성1동 매머드익스프레스 대구신월성점,매머드익스프레스 대구신월성점,,,,,,,,
553,월성1동 카페봄봄 월성삼정점,카페봄봄 월성삼정점,,,,,,,,
554,월성2동 핸썸커피 신월성점,핸썸커피 신월성점,,,,,,,,
555,월성1동 베스트프레즐 대구월성점,베스트프레즐 대구월성점,,,,,,,,
556,월성2동 팔공티 대구월성점,팔공티 대구월성점,,,,,,,,
557,월성1동 카페굄,"카페,굄",,,,,,,,
558,이곡1동 카페캔버스,캔버스 이곡점,,,,,,,,
559,이곡1동 탑리터,탑리터 성서점,,,,,,,,
560,용산2동 핸즈커피 이곡점,핸즈커피 이곡점,,,,,,,,
561,이곡1동 맘스커피,맘스커피,,,,,,,,
562,이곡1동 메가MGC커피 이마트성서점,메가MGC커피 이마트성서점,,,,,,,,
563,용산2동 설빙 대구성서점,설빙 대구성서점,,,,,,,,
564,이곡1동 감성커피 대구성서점,감성커피 대구성서점,,,,,,,,
565,이곡1동 이디야커피 대구이곡점,이디야커피 대구이곡점,,,,,,,,
566,본리동 커피나인 대구장기로,커피나인 대구장기로점,,,,,,,,
567,본리동 베어프룻cafe,베어프룻,,,,,,,,
568,장기동 할리스 대구본리점,할리스 대구본리점,,,,,,,,
569,본리동 투썸플레이스 대구죽전하늘채점,투썸플레이스 대구죽전하늘채점,,,,,,,,
570,장기동 별다방,별다방,,,,,,,,
571,성당동 크레센트,크레센트,,,,,,,,
572,성당동 라라커피,라라커피,,,,,,,,
573,성당동 쉴만한물가,쉴만한 물가,,,,,,,,
574,성당동 멜빵커피 성당점,멜빵커피 성당점,,,,,,,,
575,본리동 파나쉬블랑,파나쉬블랑,,,,,,,,
576,용산1동 데인티 용산점,데인티 용산점,,,,,,,,
577,용산1동 벨르마망,벨르마망,,,,,,,,
578,용산1동 카페세라,카페세라,,,,,,,,
579,장기동 숲으로,숲으로,,,,,,,,
580,유천동 더벤티 대구유천점,더벤티 대구유천점,,,,,,,,
581,유천동 감성커피 유천점,감성커피 유천점,,,,,,,,
582,월성1동 블루샥 대구월성점,블루샥 월성점,,,,,,,,
583,월성1동 매머드익스프레스 대구월성래미안점,매머드익스프레스 대구월성래미안점,,,,,,,,
584,월성1동 하삼동커피 대구월성점,하삼동커피 대구월성점,,,,,,,,
585,월성1동 카페아토,카페아토,,,,,,,,
586,유천동 하삼동커피 대구월배점,하삼동커피 대구월배점,,,,,,,,
587,유천동 코에케,코에케,,,,,,,,
588,유천동 쁘렝땅,쁘렝땅,,,,,,,,
589,유천동 레드파인카페,레드파인카페,,,,,,,,
590,유천동 매머드익스프레스 대구월배삼정점,매머드익스프레스 대구월배삼정점,,,,,,,,
591,유천동 하이오커피 대구월배점,하이오커피 대구월배점,,,,,,,,
592,월성1동 대퍼카페,대퍼카페,,,,,,,,
593,월성2동 도케비커피 신월성점,도케비커피 신월성점,,,,,,,,
594,유천동 마시그래이 대천점,마시그래이 대천점,,,,,,,,
595,월성1동 공차 대구월성점,공차 대구월성점,,,,,,,,
596,월성2동 이디야커피 대구신월성점,이디야커피 대구신월성점,,,,,,,,
597,월성2동 벌크커피 신월성점,벌크커피 신월성점,,,,,,,,
598,월성2동 아마스빈 신월성점,아마스빈 대구 신월성점,,,,,,,,
599,유천동 모꼬싶찌,모꼬싶찌,,,,,,,,
600,유천동 옐로우딥커피,옐로우딥커피,,,,,,,,
601,월성2동 몬스터커피 신월성점,몬스터커피신월성점,,,,,,,,
602,월성2동 스트릿츄러스 대구월성점,스트릿츄러스 대구월성점,,,,,,,,
603,월성2동 트랩코리아 대구월성점,트랩코리아 대구월성점,,,,,,,,
604,월성2동 컴포즈커피 대구신월성점,컴포즈커피 대구신월성점,,,,,,,,
605,월성2동 댄싱컵 신월성점,댄싱컵 신월성점,,,,,,,,
606,월성1동 빽다방 대구신월성점,빽다방 대구신월성점,,,,,,,,
607,월성2동 팔공티 대구신월성점,팔공티 신월성점,,,,,,,,
608,월성2동 메가MGC커피 대구신월성점,메가MGC커피 대구신월성점,,,,,,,,
609,월성1동 하이오커피 신월성점,하이오커피 신월성점,,,,,,,,
610,월성1동 동네커피 대구신월성점,동네커피 대구신월성점,,,,,,,,
611,월성1동 카페051 대구신월성점,카페051 대구신월성점,,,,,,,,
612,월성2동 텐퍼센트커피 대구신월성점,텐퍼센트커피 대구신월성점,,,,,,,,
613,월성1동 빽다방 대구월성원더풀점,빽다방 대구월성원더풀점,,,,,,,,
614,월성2동 더벤티 대구신월성점,더벤티 대구신월성점,,,,,,,,
615,월성2동 블루샥 대구신월성점,블루샥 신월성점,,,,,,,,
616,월성1동 모도,모도 월성점,,,,,,,,
617,월성1동 감성커피 대구신월성점,감성커피 대구신월성점,,,,,,,,
618,월성2동 더리터 월성점,더리터 월성점,,,,,,,,
619,월성1동 수북하이 신월성점,수북하이 신월성점,,,,,,,,
620,죽전동 요거트월드 대구두류점,요거트월드 대구두류점,,,,,,,,
621,대명11동 딜리저트 송현점,딜리저트 송현점,,,,,,,,
622,송현1동 마사커피 앞산송현점,마사커피 앞산송현점,,,,,,,,
623,진천동 아우어가비,아우어가비,,,,,,,,
624,유천동 플랜 대구진천점,플랜 진천점,,,,,,,,
625,유천동 펌프커피,펌프커피,,,,,,,,
626,진천동 더리터 대구진천역점,더리터 진천역점,,,,,,,,
627,월성1동 공차 대구월배점,공차 대구월배점,,,,,,,,
628,진천동 숭구리달당,숭구리달당,,,,,,,,
629,진천동 스테디커피 진천본점,스테디커피 본점,,,,,,,,
630,진천동 푸푸커피 진천점,푸푸커피 진천점,,,,,,,,
631,진천동 그린플레이트,그린플레이트,,,,,,,,
632,진천동 엘아르카 레푸스 진천점,엘아르카 레푸스 진천점,,,,,,,,
633,두류1동 캣월드,캣월드,,,,,,,,
634,두류1동 버블앤,버블앤,,,,,,,,
635,성당동 소쿠리과자점,소쿠리 과자점,,,,,,,,
636,두류1동 반달커피 두류점,반달커피 대구두류점,,,,,,,,
637,용산2동 이디야커피 대구용산점,이디야커피 대구용산점,,,,,,,,
638,용산2동 카페 어게인 74,카페어게인74,,,,,,,,
639,본동 커피신,커피신,,,,,,,,
640,월성2동 카페정&베이킹스튜디오,카페정베이킹스튜디오,,,,,,,,
641,송현1동 카페인중독 대구송현점,카페인중독 송현점,,,,,,,,
642,월성2동 카페게이트 월성본동점,카페게이트 월성본동점,,,,,,,,
643,장기동 몬스터커피 장기점,몬스터커피 장기점,,,,,,,,
644,상인3동 두어커피,두어커피,,,,,,,,
645,상인3동 컴포즈커피 대구도원점,컴포즈커피 대구도원점,,,,,,,,
646,진천동 더벤티 대구수목원점,더벤티 대구수목원점,,,,,,,,
647,진천동 빅밸리,빅밸리,,,,,,,,
648,진천동 이디야커피 수목원점,이디야커피 대구수목원점,,,,,,,,
649,진천동 테이블동이,테이블동이,,,,,,,,
650,진천동 에이치코너,에이치코너,,,,,,,,
651,진천동 올드인뉴,올드인뉴,,,,,,,,
652,진천동 감성커피 대곡점,감성커피 대곡점,,,,,,,,
653,진천동 하삼동커피 대구대곡점,하삼동커피 대구대곡점,,,,,,,,
654,신당동 커피앤스마일,커피앤스마일,,,,,,,,
655,신당동 론데일,론데일,,,,,,,,
656,신당동 착한커피&그릭요거트,착한커피&그릭요거트,,,,,,,,
657,신당동 콩볶는아저씨,콩볶는아저씨,,,,,,,,
658,신당동 카페루앤비 파호점,카페루앤비 대구파호점,,,,,,,,
659,신당동 앤위고커피,앤위고커피 AWGC,,,,,,,,
660,진천동 주커피 대구수목원점,주커피 대구수목원점,,,,,,,,
661,진천동 그린그루브 본점,그린그루브 본점,,,,,,,,
662,가창면 카페865,카페865,,,,,,,,
663,가창면 상띠에,상띠에,,,,,,,,
664,가창면 나드리커피,나드리커피,,,,,,,,
665,파동 투썸플레이스 파동가창점,투썸플레이스 파동가창점,,,,,,,,
666,가창면 폰타나커피,폰타나커피,,,,,,,,
667,가창면 카페랑,카페랑,,,,,,,,
668,가창면 투썸플레이스 대구가창점,투썸플레이스 대구가창점,,,,,,,,
669,가창면 핸즈커피 가창점,핸즈커피 가창점,,,,,,,,
670,가창면 커피온니두,커피온니두,,,,,,,,
671,가창면 커피예가,커피예가,,,,,,,,
672,가창면 커피팜,커피팜,,,,,,,,
673,가창면 비트리커피,가창카페 비트리커피,,,,,,,,
674,가창면 카페쁘띠씨엘,쁘띠씨엘,,,,,,,,
675,가창면 가창카페 아트도서관,가창카페 아트도서관,,,,,,,,
676,가창면 노즈커피,노즈커피,,,,,,,,
677,가창면 향갤러리&카페,향갤러리&카페,,,,,,,,
678,가창면 보니72,보니72,,,,,,,,
679,가창면 RULLYCOFFEE,룰리커피 가창점,,,,,,,,
680,가창면 카페공가,카페공가,,,,,,,,
681,가창면 오퐁드부아 티하우스,오퐁드부아 티 하우스,,,,,,,,
682,가창면 커피스탑 본점,커피스탑본점,,,,,,,,
683,가창면 센스컵,카페 센스컵,,,,,,,,
684,구지면 탑리터 구지점,탑리터 구지점,,,,,,,,
685,구지면 369떡카페,369떡카페,,,,,,,,
686,구지면 더리터 구지점,더리터 구지점,,,,,,,,
687,구지면 마시그래이 현풍구지점,마시그래이 현풍구지점,,,,,,,,
688,구지면 청솔로9 구지점,청솔로9 구지점,,,,,,,,
689,구지면 팔공티 대구구지점,팔공티 대구구지점,,,,,,,,
690,구지면 기브온,카페기브온,,,,,,,,
691,구지면 아그레망,아그레망,,,,,,,,
692,구지면 카페보스 대구구지점,카페보스 대구구지점,,,,,,,,
693,구지면 크로플덕오리아가씨 대구구지점,크로플덕 오리아가씨 대구구지점,,,,,,,,
694,구지면 바빈스커피 대구현풍점,바빈스커피 대구현풍점,,,,,,,,
695,구지면 카페051 대구구지아이비파크점,카페051 대구구지아이비파크점,,,,,,,,
696,구지면 커피읽어주는남자,커피읽어주는남자,,,,,,,,
697,논공읍 솔라이트커피,솔라이트 커피,,,,,,,,
698,논공읍 카페청담,카페청담,,,,,,,,
699,논공읍 누리디저트카페,누리카페,,,,,,,,
700,논공읍 엔엘리오,"엔엘리오카페,베이커리,레스토랑",,,,,,,,
701,논공읍 엔드포인트,엔드포인트,,,,,,,,
702,다사읍 필레몬스,필레몬스,,,,,,,,
703,다사읍 투썸플레이스 대구강정보디아크점,투썸플레이스대구강정보디아크점,,,,,,,,
704,다사읍 파스쿠찌 대구강정고령보점,파스쿠찌 강정고령보점,,,,,,,,
705,다사읍 컴포즈커피 대구서재점,컴포즈커피 대구서재점,,,,,,,,
706,다사읍 템푸스,템푸스,,,,,,,,
707,다사읍 로스팅아울,로스팅아울,,,,,,,,
708,다사읍 공차 대구죽곡점,공차 대구죽곡점,,,,,,,,
709,다사읍 빽다방 대구대실역점,빽다방 대구대실역점,,,,,,,,
710,다사읍 텐퍼센트커피 대구대실역점,텐퍼센트커피 대구대실역점,,,,,,,,
711,다사읍 설빙 죽곡점,설빙 대구죽곡점,,,,,,,,
712,다사읍 메가MGC커피 대구다사점,메가MGC커피 대구다사점,,,,,,,,
713,다사읍 썬솔,썬솔 브런치카페,,,,,,,,
714,다사읍 디저트39 다사대실점,디저트39 다사대실점,,,,,,,,
715,다사읍 이디야커피 대구대실역점,이디야커피 대구대실역점,,,,,,,,
716,다사읍 플로우인,플로우인,,,,,,,,
717,다사읍 투썸플레이스 대구죽곡공원점,투썸플레이스 대구죽곡공원점,,,,,,,,
718,다사읍 지지피,지지피,,,,,,,,
719,다사읍 카페올리브,카페 올리브,,,,,,,,
720,다사읍 이디야커피 대구죽곡점,이디야 대구죽곡점,,,,,,,,
721,다사읍 카페봄봄 다사점,카페봄봄 다사점,,,,,,,,
722,다사읍 핸즈커피 죽곡점,핸즈커피 죽곡점,,,,,,,,
723,다사읍 아마스빈 대구죽곡점,아마스빈 대구죽곡점,,,,,,,,
724,다사읍 하삼동커피 대구다사점,하삼동커피 다사점,,,,,,,,
725,다사읍 컴포즈커피 대구다사점,컴포즈커피 대구다사점,,,,,,,,
726,다사읍 그라노데 다사,그라노데다사,,,,,,,,
727,다사읍 카페봄봄 대구다사역점,카페봄봄 다사역점,,,,,,,,
728,다사읍 커피마마 문양역점,커피마마 문양역점,,,,,,,,
729,다사읍 이디야커피 대구서재미르점,이디야커피 대구서재미르점,,,,,,,,
730,다사읍 덤덤커피바,덤덤커피바,,,,,,,,
731,다사읍 이디야커피 대구서재아이위시점,이디야커피 대구서재아이위시점,,,,,,,,
732,다사읍 카페봄봄 동화점,카페봄봄 동화점,,,,,,,,
733,다사읍 공차 대구서재점,공차 대구서재점,,,,,,,,
734,다사읍 투썸플레이스 대구세천점,투썸플레이스 세천점,,,,,,,,
735,다사읍 할리스 대구세천점,할리스 대구세천점,,,,,,,,
736,다사읍 이디야커피 대구세천점,이디야커피 대구세천점,,,,,,,,
737,다사읍 빽다방 대구다사세천점,빽다방 대구다사세천점,,,,,,,,
738,다사읍 카페게이트 대구세천점,카페게이트 대구세천점,,,,,,,,
739,다사읍 카페봄봄 세천점,카페봄봄 세천점,,,,,,,,
740,다사읍 달다구니 세천점,달다구니 Cafe 세천점,,,,,,,,
741,다사읍 더벤티 대구세천점,더벤티 대구세천점,,,,,,,,
742,다사읍 로스팅시고,로스팅시고,,,,,,,,
743,다사읍 호두당 대구다사점,호두당 대구다사점,,,,,,,,
744,다사읍 꼬모맨션 다사점,꼬모맨션 다사점,,,,,,,,
745,옥포읍 자갈자갈 에스프레소바,JAGALJAGAL ESPRESSO BAR,,,,,,,,
746,논공읍 매스커피 대구옥포점,매스커피 대구옥포점,,,,,,,,
747,옥포읍 더리터 대구옥포점,더리터대구옥포점,,,,,,,,
748,논공읍 카페프리,카페프리,,,,,,,,
749,논공읍 이디야커피 대구옥포점,이디야커피 대구옥포점,,,,,,,,
750,옥포읍 몬스터커피 옥포점,몬스터커피 옥포점,,,,,,,,
751,옥포읍 광PC카페 옥포직영점,광PC카페 옥포직영점,,,,,,,,
752,논공읍 핸즈커피 옥포점,핸즈커피 옥포점,,,,,,,,
753,옥포읍 웜브리즈,웜 브리즈,,,,,,,,
754,화원읍 썸데이아이윌,썸데이아이윌,,,,,,,,
755,옥포읍 바토플루이르송해,바토플루이르 송해,,,,,,,,
756,유가읍 구례뜰,구례뜰,,,,,,,,
757,유가읍 비베카,비베카,,,,,,,,
758,유가읍 할리스 대구현풍테크노점,할리스 현풍테크노점,,,,,,,,
759,유가읍 심플카페,심플카페,,,,,,,,
760,유가읍 매스커피 현풍테크노점,매스커피 현풍테크노점,,,,,,,,
761,유가읍 몬스터커피 테크노폴리스점,몬스터커피 테크노폴리스점,,,,,,,,
762,유가읍 카페인중독 대구유가점,카페인중독 대구유가점,,,,,,,,
763,유가읍 공차 대구과학관점,공차 대구과학관점,,,,,,,,
764,유가읍 청솔로9,청솔로9현풍점,,,,,,,,
765,유가읍 투케이커피,2k coffee,,,,,,,,
766,유가읍 벌크커피 현풍테크노점,벌크커피 현풍테크노점,,,,,,,,
767,유가읍 논페이지,논페이지,,,,,,,,
768,유가읍 카페봄봄 테크노폴리스점,카페봄봄 테크노폴리스점,,,,,,,,
769,유가읍 공차 대구테크노폴리스점,공차 대구테크노폴리스점,,,,,,,,
770,유가읍 디저트39 대구 테크노폴리스점,디저트39 대구 테크노폴리스점,,,,,,,,
771,유가읍 마실커피 테크노폴리스점,마실커피 테크노폴리스점,,,,,,,,
772,유가읍 더벤티 대구테크노중앙점,더벤티 대구테크노중앙점,,,,,,,,
773,유가읍 우주라이크커피 대구테크노폴리스점,우주라이크커피 테크노폴리스점,,,,,,,,
774,유가읍 컴포즈커피 현풍테크노폴리스점,컴포즈커피 현풍테크노폴리스점,,,,,,,,
775,유가읍 설롱커피,설롱커피,,,,,,,,
776,유가읍 하연,하연,,,,,,,,
777,유가읍 이디야커피 대구현풍케이스마트점,이디야커피 대구현풍케이스마트점,,,,,,,,
778,유가읍 나우커피 대구유가점,나우커피 대구유가점,,,,,,,,
779,유가읍 호호리,호호리,,,,,,,,
780,유가읍 읍천리382 대구현풍점,읍천리382 현풍점,,,,,,,,
781,유가읍 커피다커피,커피다커피,,,,,,,,
782,유가읍 퍼플리,퍼플리,,,,,,,,
783,유가읍 백금당 현풍점,백금당 현풍점,,,,,,,,
784,유가읍 이디야커피 대구현풍로점,이디야 대구현풍로점,,,,,,,,
785,유가읍 오디너리히어로즈,오디너리히어로즈,,,,,,,,
786,유가읍 커피&타로,커피&타로,,,,,,,,
787,현풍읍 제리민,제리민,,,,,,,,
788,현풍읍 카페오롯,카페 오롯,,,,,,,,
789,현풍읍 디저트카페딥앤딥,디저트카페 딥앤딥,,,,,,,,
790,구지면 카페솔례단길,카페 솔례단길,,,,,,,,
791,현풍읍 드롭탑 대구테크노폴리스점,드롭탑 대구테크노폴리스점,,,,,,,,
792,현풍읍 커피에반하다 대구중리점,커피에반하다 대구중리점,,,,,,,,
793,구지면 턴커피,턴커피 현풍점,,,,,,,,
794,현풍읍 카페오키도키,카페 오키도키,,,,,,,,
795,현풍읍 보람베이킹카페,보람베이킹카페,,,,,,,,
796,현풍읍 베이크앤드,베이크앤드,,,,,,,,
797,현풍읍 탑리터 현풍점,탑리터 현풍점,,,,,,,,
798,현풍읍 더리터 현풍점,더리터 현풍점,,,,,,,,
799,현풍읍 젤로,젤로 커피&눈꽃빙수 현풍점,,,,,,,,
800,현풍읍 핑퐁커피 현풍점,핑퐁커피 현풍점,,,,,,,,
801,현풍읍 텐퍼센트커피 대구테크노폴리스점,텐퍼센트커피 대구테크노폴리스점,,,,,,,,
802,현풍읍 리970,RE970,,,,,,,,
803,현풍읍 하삼동커피 대구현풍테크노점,하삼동커피 현풍테크노점,,,,,,,,
804,현풍읍 소소베이크샵,소소베이크샵,,,,,,,,
805,현풍읍 디포타,디포타,,,,,,,,
806,현풍읍 피컵요거트,피컵요거트 테크노폴리스점,,,,,,,,
807,구지면 카페플록,카페 플록,,,,,,,,
808,현풍읍 듀엣위드유,듀엣위드유,,,,,,,,
809,현풍읍 재동커피,재동커피,,,,,,,,
810,현풍읍 위치커피 현풍점,위치커피 대구현풍점,,,,,,,,
811,화원읍 마시그래이 명곡점,마시그래이 명곡점,,,,,,,,
812,화원읍 카페봄봄 명곡점,카페봄봄 명곡점,,,,,,,,
813,화원읍 카페낙원,카페낙원,,,,,,,,
814,옥포읍 바람이불어오는곳,카페 바람이 불어오는곳,,,,,,,,
815,화원읍 자연카페,자연카페,,,,,,,,
816,화원읍 카페설화,카페설화,,,,,,,,
817,옥포읍 이디야커피 대구설화명곡점,이디야커피 설화명곡점,,,,,,,,
818,화원읍 가져가커피,가져가커피&빈티지,,,,,,,,
819,화원읍 카페봄봄 대구 화원점,카페봄봄 화원점,,,,,,,,
820,화원읍 더리터 대구화원점,더리터 대구화원점,,,,,,,,
821,화원읍 몬스터커피 화원점,몬스터커피 화원점,,,,,,,,
822,화원읍 시소,시소,,,,,,,,
823,화원읍 온오븐,온오븐,,,,,,,,
824,화원읍 더리터 대곡역점,더리터 대곡역점,,,,,,,,
825,화원읍 마시그래이 대곡역점,마시그래이 대곡역점,,,,,,,,
826,유천동 카페봄봄 대곡역점,카페봄봄 대곡역점,,,,,,,,
827,옥포읍 카페소예 옥포점,카페소예 화원,,,,,,,,
828,화원읍 그라운드커피 대구점,그라운드커피 대구점,,,,,,,,
829,화원읍 보니따카페,보니따카페,,,,,,,,
830,화원읍 셀렉토커피 대구화원사문진점,셀렉토커피 대구화원사문진점,,,,,,,,
831,화원읍 어굿,어굿커피,,,,,,,,
832,화원읍 카페칸,카페칸,,,,,,,,
833,옥포읍 공차 대구화원점,공차 대구화원점,,,,,,,,
834,화원읍 작가와커피,작가와커피,,,,,,,,
835,화원읍 이야기가있는집,이야기가 있는 집,,,,,,,,
836,화원읍 맨드라미,맨드라미,,,,,,,,
